"Date/Time";"Mech Vent + Nat Vent + Infiltration";"External Infiltration";"External Vent.";"Zone Heating";"General Lighting";"Occupancy";"Solar Gains Exterior Windows";"Zone Sensible Heating";"Zone Sensible Cooling";"Air Temperature";"Radiant Temperature";"Operative Temperature";"Total Latent Load";"Outside Dry-Bulb Temperature";"Outside Dew-Point Temperature";"Direct Normal Solar";"Diffuse Horizontal Solar";"Wind Speed";"Wind Direction";"Atmospheric Pressure";"Solar Altitude";"Solar Azimuth";
;"ac/h";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"°C";"°C";"°C";"kWh";"°C";"°C";"kWh/m2";"kWh/m2";"m/s";"°";"Pa";"°";"°";
"1/01/2002";"0.9973295";"-644.2242";"-158.8695";"0";"71.3716";"125.1176";"2065.355";"0";"-81.42215";"25.11089";"25.98089";"25.54589";"42.39151";"12.53757";"6.397581";"57.717";"124.358";"0.1826613";"9.788306";"67917";"7.359743";"180.0509";
"1/02/2002";"0.8650992";"-531.27";"-41.12909";"0";"64.46468";"121.159";"1737.784";"0";"-72.9343";"24.04796";"24.76669";"24.40732";"30.13951";"12.58318";"6.465067";"55.876";"109.242";"1.769792";"71.20536";"67917";"5.158371";"178.158";
"1/03/2002";"0.8391271";"-571.9919";"-22.5549";"0";"71.3716";"136.8783";"1835.063";"0";"-79.14794";"23.70368";"24.39215";"24.04792";"30.63076";"12.55746";"6.579301";"52.6695";"112.5313";"1.236828";"75.3629";"67917";"0.8459499";"182.364";
"1/04/2002";"0.9163247";"-588.8073";"-92.3968";"0.04509";"69.0693";"127.7986";"1918.403";"0";"-81.15285";"24.19906";"24.97189";"24.58547";"34.30698";"12.35215";"6.059548";"67.9405";"96.32225";"1.385695";"69.72222";"67917";"-3.923087";"182.7107";
"1/05/2002";"1.081836";"-656.5258";"-308.0969";"14.68323";"71.3716";"128.9755";"2292.443";"7.941052";"-86.04245";"24.10821";"25.01087";"24.55954";"38.53362";"11.37722";"3.935954";"128.7587";"68.024";"0.2232527";"9.865591";"67917";"-6.8435";"185.8922";
"1/06/2002";"1.101454";"-681.103";"-348.7774";"90.61092";"69.0693";"124.0348";"2379.655";"65.39029";"-76.20701";"23.92309";"24.81433";"24.36871";"38.07081";"10.34962";"0.94125";"137.431";"57.556";"0.9769444";"61.14028";"67917";"-7.864104";"186.8283";
"1/07/2002";"1.114139";"-715.8043";"-363.9732";"87.05938";"71.3716";"129.6295";"2434.385";"61.98888";"-73.62906";"23.74442";"24.64716";"24.19579";"37.87954";"9.92742";"1.301411";"151.802";"57.00025";"0.2327957";"14.27419";"67917";"-7.460363";"187.0247";
"1/08/2002";"1.046375";"-665.1178";"-258.8908";"24.41208";"71.3716";"131.6143";"2196.615";"14.70626";"-83.28313";"23.84394";"24.72457";"24.28425";"35.89474";"10.95958";"2.985484";"128.1597";"73.5975";"0.4307796";"11.37097";"67917";"-5.428676";"184.7858";
"1/09/2002";"0.8802987";"-581.2365";"-61.48127";"0";"69.0693";"131.2706";"1902.842";"0";"-83.47766";"23.76755";"24.50544";"24.1365";"30.83491";"12.09299";"4.245972";"76.561";"98.59225";"1.493194";"68.19444";"67917";"-1.299934";"180.5086";
"1/10/2002";"1.069453";"-643.7308";"-229.6433";"0";"71.3716";"118.564";"2353.92";"0";"-89.02168";"25.78284";"26.71526";"26.24905";"48.94508";"13.21791";"4.881888";"77.571";"114.229";"1.8375";"70.31049";"67917";"3.523891";"178.1806";
"1/11/2002";"1.134735";"-632.9434";"-281.8172";"0";"69.0693";"112.3974";"2370.248";"0";"-84.59005";"26.05067";"27.04374";"26.5472";"49.70812";"13.27083";"5.651111";"60.999";"117.6805";"1.771111";"90.75694";"67917";"6.72035";"180.4534";
"1/12/2002";"1.235621";"-673.6164";"-396.3972";"0";"71.3716";"112.5179";"2591.933";"0";"-88.83915";"26.40723";"27.49322";"26.95022";"54.99118";"13.24194";"5.665154";"61.7835";"124.8";"1.714651";"85.75941";"67917";"7.855065";"180.2695";

