"Date/Time";"Lighting";"Heating (Electricity)";"DHW (Electricity)";
;"kW";"kW";"kW";
"1/01/2002 01:00:00";"0";"0.75236";"0";
"1/01/2002 02:00:00";"0";"0.986538";"0";
"1/01/2002 03:00:00";"0";"1.169257";"0";
"1/01/2002 04:00:00";"0";"1.307272";"0";
"1/01/2002 05:00:00";"0";"1.442068";"0";
"1/01/2002 06:00:00";"0";"1.536221";"4.907517";
"1/01/2002 07:00:00";"0";"1.50252";"4.907517";
"1/01/2002 08:00:00";"1.13562";"0.962536";"0";
"1/01/2002 09:00:00";"1.13562";"0.641991";"0";
"1/01/2002 10:00:00";"1.13562";"0.326341";"0";
"1/01/2002 11:00:00";"0";"0.168986";"0";
"1/01/2002 12:00:00";"0";"0";"0";
"1/01/2002 13:00:00";"0";"0";"0";
"1/01/2002 14:00:00";"0";"0";"0";
"1/01/2002 15:00:00";"0";"0";"0";
"1/01/2002 16:00:00";"0";"0";"0";
"1/01/2002 17:00:00";"0";"0";"0";
"1/01/2002 18:00:00";"0";"0";"0";
"1/01/2002 19:00:00";"0";"0";"4.907517";
"1/01/2002 20:00:00";"0.323354";"0";"4.907517";
"1/01/2002 21:00:00";"0.323354";"0";"0";
"1/01/2002 22:00:00";"0.323354";"0.00029";"0";
"1/01/2002 23:00:00";"0.323354";"0.068142";"0";
"1/01/2002";"0";"0.47237";"0";
"2/01/2002 01:00:00";"0";"0.801454";"0";
"2/01/2002 02:00:00";"0";"1.06457";"0";
"2/01/2002 03:00:00";"0";"1.281455";"0";
"2/01/2002 04:00:00";"0";"1.465686";"0";
"2/01/2002 05:00:00";"0";"1.628661";"0";
"2/01/2002 06:00:00";"0";"1.727838";"4.907517";
"2/01/2002 07:00:00";"0";"1.820029";"4.907517";
"2/01/2002 08:00:00";"1.13562";"1.409307";"0";
"2/01/2002 09:00:00";"1.13562";"1.065704";"0";
"2/01/2002 10:00:00";"1.13562";"0.658392";"0";
"2/01/2002 11:00:00";"0";"0.665884";"0";
"2/01/2002 12:00:00";"0";"0.246298";"0";
"2/01/2002 13:00:00";"0";"0.005211";"0";
"2/01/2002 14:00:00";"0";"0";"0";
"2/01/2002 15:00:00";"0";"0";"0";
"2/01/2002 16:00:00";"0";"0";"0";
"2/01/2002 17:00:00";"0";"0";"0";
"2/01/2002 18:00:00";"0";"0";"0";
"2/01/2002 19:00:00";"0";"0";"4.907517";
"2/01/2002 20:00:00";"0.323354";"0";"4.907517";
"2/01/2002 21:00:00";"0.323354";"0.016737";"0";
"2/01/2002 22:00:00";"0.323354";"0.275437";"0";
"2/01/2002 23:00:00";"0.323354";"0.628215";"0";
"2/01/2002";"0";"1.00235";"0";
"3/01/2002 01:00:00";"0";"1.242074";"0";
"3/01/2002 02:00:00";"0";"1.43363";"0";
"3/01/2002 03:00:00";"0";"1.600821";"0";
"3/01/2002 04:00:00";"0";"1.752284";"0";
"3/01/2002 05:00:00";"0";"1.888638";"0";
"3/01/2002 06:00:00";"0";"1.964522";"4.907517";
"3/01/2002 07:00:00";"0";"1.878157";"4.907517";
"3/01/2002 08:00:00";"1.13562";"1.266259";"0";
"3/01/2002 09:00:00";"1.13562";"0.871494";"0";
"3/01/2002 10:00:00";"1.13562";"0.505366";"0";
"3/01/2002 11:00:00";"0";"0.35452";"0";
"3/01/2002 12:00:00";"0";"0.021625";"0";
"3/01/2002 13:00:00";"0";"0";"0";
"3/01/2002 14:00:00";"0";"0";"0";
"3/01/2002 15:00:00";"0";"0";"0";
"3/01/2002 16:00:00";"0";"0";"0";
"3/01/2002 17:00:00";"0";"0";"0";
"3/01/2002 18:00:00";"0";"0";"0";
"3/01/2002 19:00:00";"0";"0";"4.907517";
"3/01/2002 20:00:00";"0.323354";"0.036418";"4.907517";
"3/01/2002 21:00:00";"0.323354";"0.301374";"0";
"3/01/2002 22:00:00";"0.323354";"0.660075";"0";
"3/01/2002 23:00:00";"0.323354";"0.918924";"0";
"3/01/2002";"0";"1.217976";"0";
"4/01/2002 01:00:00";"0";"1.411505";"0";
"4/01/2002 02:00:00";"0";"1.593606";"0";
"4/01/2002 03:00:00";"0";"1.744201";"0";
"4/01/2002 04:00:00";"0";"1.955725";"0";
"4/01/2002 05:00:00";"0";"2.076513";"0";
"4/01/2002 06:00:00";"0";"2.115194";"4.907517";
"4/01/2002 07:00:00";"0";"2.133646";"4.907517";
"4/01/2002 08:00:00";"1.13562";"1.659969";"0";
"4/01/2002 09:00:00";"1.13562";"1.290541";"0";
"4/01/2002 10:00:00";"1.13562";"0.818981";"0";
"4/01/2002 11:00:00";"0";"0.741385";"0";
"4/01/2002 12:00:00";"0";"0.286502";"0";
"4/01/2002 13:00:00";"0";"0.004073";"0";
"4/01/2002 14:00:00";"0";"0";"0";
"4/01/2002 15:00:00";"0";"0";"0";
"4/01/2002 16:00:00";"0";"0";"0";
"4/01/2002 17:00:00";"0";"0";"0";
"4/01/2002 18:00:00";"0";"0";"0";
"4/01/2002 19:00:00";"0";"0";"4.907517";
"4/01/2002 20:00:00";"0.323354";"0";"4.907517";
"4/01/2002 21:00:00";"0.323354";"0.117461";"0";
"4/01/2002 22:00:00";"0.323354";"0.522175";"0";
"4/01/2002 23:00:00";"0.323354";"0.849492";"0";
"4/01/2002";"0";"1.202021";"0";
"5/01/2002 01:00:00";"0";"1.429538";"0";
"5/01/2002 02:00:00";"0";"1.631742";"0";
"5/01/2002 03:00:00";"0";"1.798385";"0";
"5/01/2002 04:00:00";"0";"1.928628";"0";
"5/01/2002 05:00:00";"0";"2.038225";"0";
"5/01/2002 06:00:00";"0";"2.104535";"4.907517";
"5/01/2002 07:00:00";"0";"1.9855";"4.907517";
"5/01/2002 08:00:00";"1.13562";"1.336262";"0";
"5/01/2002 09:00:00";"1.13562";"0.9275";"0";
"5/01/2002 10:00:00";"1.13562";"0.580056";"0";
"5/01/2002 11:00:00";"0";"0.48787";"0";
"5/01/2002 12:00:00";"0";"0.08755";"0";
"5/01/2002 13:00:00";"0";"0";"0";
"5/01/2002 14:00:00";"0";"0";"0";
"5/01/2002 15:00:00";"0";"0";"0";
"5/01/2002 16:00:00";"0";"0";"0";
"5/01/2002 17:00:00";"0";"0";"0";
"5/01/2002 18:00:00";"0";"0";"0";
"5/01/2002 19:00:00";"0";"0.036237";"4.907517";
"5/01/2002 20:00:00";"0.323354";"0.236092";"4.907517";
"5/01/2002 21:00:00";"0.323354";"0.568006";"0";
"5/01/2002 22:00:00";"0.323354";"0.821333";"0";
"5/01/2002 23:00:00";"0.323354";"1.013318";"0";
"5/01/2002";"0";"1.243845";"0";
"6/01/2002 01:00:00";"0";"1.420539";"0";
"6/01/2002 02:00:00";"0";"1.594461";"0";
"6/01/2002 03:00:00";"0";"1.754282";"0";
"6/01/2002 04:00:00";"0";"1.890032";"0";
"6/01/2002 05:00:00";"0";"2.007352";"0";
"6/01/2002 06:00:00";"0";"2.093108";"4.907517";
