1;"eplusout"

"Date/Time";"[1] Site Diffuse Solar Radiation Rate per Area (W/m2)";"[1] Site Direct Solar Radiation Rate per Area (W/m2)";"[1] Water Heater Electricity Rate (W)";"[1] Water Use Equipment Heating Rate (W)";"[1] Water Use Equipment Heating Rate (W)"
;"Environment";"Environment";"AUX HW LOOP WATER HEATER";"4299 WATER OUTLET";"4292 WATER OUTLET"
"1/01/2002 01:00";"0";"0";"0";"0";"0"
"1/01/2002 02:00";"0";"0";"0";"0";"0"
"1/01/2002 03:00";"0";"0";"0";"0";"0"
"1/01/2002 04:00";"0";"0";"0";"0";"0"
"1/01/2002 05:00";"0";"0";"0";"0";"0"
"1/01/2002 06:00";"28.5";"24";"0";"3117.35369622508";"413.339683258575"
"1/01/2002 07:00";"123.25";"80.5";"0";"3132.1901188734";"415.306890972468"
"1/01/2002 08:00";"252.75";"48";"0";"0";"0"
"1/01/2002 09:00";"342.75";"82.5";"0";"0";"0"
"1/01/2002 10:00";"462.75";"46.5";"0";"0";"0"
"1/01/2002 11:00";"590.5";"6.25";"0";"0";"0"
"1/01/2002 12:00";"650";"7.5";"0";"0";"0"
"1/01/2002 13:00";"632.25";"32.75";"0";"0";"0"
"1/01/2002 14:00";"493.5";"102.75";"0";"0";"0"
"1/01/2002 15:00";"390.75";"109";"0";"0";"0"
"1/01/2002 16:00";"262.75";"123";"0";"0";"0"
"1/01/2002 17:00";"164.5";"64.75";"0";"0";"0"
"1/01/2002 18:00";"53";"25.5";"0";"0";"0"
"1/01/2002 19:00";"0";"0";"0";"3132.19045425269";"415.306935441458"
"1/01/2002 20:00";"0";"0";"0";"3132.18034536585";"415.305595072513"
"1/01/2002 21:00";"0";"0";"0";"0";"0"
"1/01/2002 22:00";"0";"0";"0";"0";"0"
"1/01/2002 23:00";"0";"0";"0";"0";"0"
"2/01/2002 00:00";"0";"0";"0";"0";"0"
"2/01/2002 01:00";"0";"0";"0";"0";"0"
"2/01/2002 02:00";"0";"0";"0";"0";"0"
"2/01/2002 03:00";"0";"0";"0";"0";"0"
"2/01/2002 04:00";"0";"0";"0";"0";"0"
"2/01/2002 05:00";"0";"0";"0";"0";"0"
"2/01/2002 06:00";"28.25";"23.75";"0";"3127.86305430257";"414.733151938199"
"2/01/2002 07:00";"119.25";"88.25";"0";"3127.82124941826";"414.727608897748"
"2/01/2002 08:00";"242.75";"77.75";"0";"0";"0"
"2/01/2002 09:00";"344.75";"98.25";"0";"0";"0"
"2/01/2002 10:00";"442.5";"86";"0";"0";"0"
"2/01/2002 11:00";"467.5";"129";"0";"0";"0"
"2/01/2002 12:00";"491.75";"134.25";"0";"0";"0"
"2/01/2002 13:00";"489.5";"124";"0";"0";"0"
"2/01/2002 14:00";"472.5";"72";"0";"0";"0"
"2/01/2002 15:00";"376.75";"74.25";"0";"0";"0"
"2/01/2002 16:00";"259.25";"87.25";"0";"0";"0"
"2/01/2002 17:00";"158.5";"72.25";"0";"0";"0"
"2/01/2002 18:00";"53";"39";"0";"0";"0"
"2/01/2002 19:00";"0";"0";"0";"3127.8632296994";"414.733175194614"
"2/01/2002 20:00";"0";"0";"0";"3114.53984761682";"412.966586264839"
"2/01/2002 21:00";"0";"0";"0";"0";"0"
"2/01/2002 22:00";"0";"0";"0";"0";"0"
"2/01/2002 23:00";"0";"0";"0";"0";"0"
"3/01/2002 00:00";"0";"0";"0";"0";"0"
"3/01/2002 01:00";"0";"0";"0";"0";"0"
"3/01/2002 02:00";"0";"0";"0";"0";"0"
"3/01/2002 03:00";"0";"0";"0";"0";"0"
"3/01/2002 04:00";"0";"0";"0";"0";"0"
"3/01/2002 05:00";"0";"0";"0";"0";"0"
"3/01/2002 06:00";"32.25";"31";"0";"2931.93496030116";"388.754432739904"
"3/01/2002 07:00";"132.25";"125";"817.48096326205";"2877.22908613204";"381.500809665683"
"3/01/2002 08:00";"253.25";"143";"0";"0";"0"
"3/01/2002 09:00";"353.75";"170.75";"0";"0";"0"
"3/01/2002 10:00";"463.25";"134.25";"0";"0";"0"
"3/01/2002 11:00";"469.5";"174";"0";"0";"0"
"3/01/2002 12:00";"493.25";"152";"0";"0";"0"
"3/01/2002 13:00";"489";"137.25";"0";"0";"0"
"3/01/2002 14:00";"472.25";"139.25";"0";"0";"0"
"3/01/2002 15:00";"379.25";"192";"0";"0";"0"
"3/01/2002 16:00";"255";"235";"0";"0";"0"
"3/01/2002 17:00";"157.5";"139.25";"0";"0";"0"
"3/01/2002 18:00";"54.5";"44.25";"0";"0";"0"
"3/01/2002 19:00";"0";"0";"0";"3028.6310942256";"401.575675775962"
"3/01/2002 20:00";"0";"0";"0";"3009.54325170266";"399.044758994823"
"3/01/2002 21:00";"0";"0";"0";"0";"0"
"3/01/2002 22:00";"0";"0";"0";"0";"0"
"3/01/2002 23:00";"0";"0";"0";"0";"0"
"4/01/2002 00:00";"0";"0";"0";"0";"0"
"4/01/2002 01:00";"0";"0";"0";"0";"0"
"4/01/2002 02:00";"0";"0";"0";"0";"0"
"4/01/2002 03:00";"0";"0";"0";"0";"0"
"4/01/2002 04:00";"0";"0";"0";"0";"0"
"4/01/2002 05:00";"0";"0";"0";"0";"0"
"4/01/2002 06:00";"27.25";"24.25";"398.142268941582";"2861.04291341831";"379.354634366177"
"4/01/2002 07:00";"121.25";"81.25";"862.103011768624";"2885.04597925137";"382.537275989643"
"4/01/2002 08:00";"249.75";"49.5";"0";"0";"0"
"4/01/2002 09:00";"338";"87.25";"0";"0";"0"
"4/01/2002 10:00";"431.5";"71.25";"0";"0";"0"
"4/01/2002 11:00";"458.75";"101.25";"0";"0";"0"
"4/01/2002 12:00";"480.75";"99";"0";"0";"0"
"4/01/2002 13:00";"467";"99.75";"0";"0";"0"
"4/01/2002 14:00";"428.25";"91.75";"0";"0";"0"
"4/01/2002 15:00";"372.75";"68.25";"0";"0";"0"
"4/01/2002 16:00";"259.5";"83.5";"0";"0";"0"
"4/01/2002 17:00";"154.75";"51.5";"0";"0";"0"
"4/01/2002 18:00";"53";"10.5";"0";"0";"0"
"4/01/2002 19:00";"0";"0";"0";"2875.36721932417";"381.253938918367"
"4/01/2002 20:00";"0";"0";"396.321523910877";"2850.06547717798";"377.899101737953"
"4/01/2002 21:00";"0";"0";"0";"0";"0"
"4/01/2002 22:00";"0";"0";"0";"0";"0"
"4/01/2002 23:00";"0";"0";"0";"0";"0"
"5/01/2002 00:00";"0";"0";"0";"0";"0"
"5/01/2002 01:00";"0";"0";"0";"0";"0"
"5/01/2002 02:00";"0";"0";"0";"0";"0"
"5/01/2002 03:00";"0";"0";"0";"0";"0"
"5/01/2002 04:00";"0";"0";"0";"0";"0"
"5/01/2002 05:00";"0";"0";"0";"0";"0"
"5/01/2002 06:00";"31";"56.5";"862.601166842307";"2886.69500867257";"382.755925961723"
"5/01/2002 07:00";"132.75";"209";"1410.22155171067";"2899.05627307555";"384.39494469713"
"5/01/2002 08:00";"264.5";"176.25";"0";"0";"0"
"5/01/2002 09:00";"342.5";"211";"0";"0";"0"
"5/01/2002 10:00";"443";"157.75";"0";"0";"0"
"5/01/2002 11:00";"469.5";"172";"0";"0";"0"
"5/01/2002 12:00";"493.5";"149.75";"0";"0";"0"
"5/01/2002 13:00";"478.25";"138.5";"0";"0";"0"
"5/01/2002 14:00";"440.25";"128.75";"0";"0";"0"
"5/01/2002 15:00";"389.25";"98.75";"0";"0";"0"
"5/01/2002 16:00";"265.25";"131";"0";"0";"0"
"5/01/2002 17:00";"166.5";"105.5";"0";"0";"0"
"5/01/2002 18:00";"57";"62.25";"0";"0";"0"
"5/01/2002 19:00";"0";"0";"0";"2932.32995402222";"388.806806193629"
"5/01/2002 20:00";"0";"0";"395.192318281988";"2844.65905986325";"377.182247945219"
"5/01/2002 21:00";"0";"0";"0";"0";"0"
"5/01/2002 22:00";"0";"0";"0";"0";"0"
"5/01/2002 23:00";"0";"0";"0";"0";"0"
"6/01/2002 00:00";"0";"0";"0";"0";"0"
"6/01/2002 01:00";"0";"0";"0";"0";"0"
"6/01/2002 02:00";"0";"0";"0";"0";"0"
"6/01/2002 03:00";"0";"0";"0";"0";"0"
"6/01/2002 04:00";"0";"0";"0";"0";"0"
"6/01/2002 05:00";"0";"0";"0";"0";"0"
