1;"eplusout"

"Date/Time";"[1] Zone Operative Temperature (C)";"[1] Site Outdoor Air Drybulb Temperature (C)";"[1] Site Diffuse Solar Radiation Rate per Area (W/m2)";"[1] Site Direct Solar Radiation Rate per Area (W/m2)"
;"3679";"Environment";"Environment";"Environment"
"1/01/2002 01:00";"19.4730420592668";"4.15";"0";"0"
"1/01/2002 02:00";"19.130436788042";"3.875";"0";"0"
"1/01/2002 03:00";"18.8037556184703";"3.725";"0";"0"
"1/01/2002 04:00";"18.5185776715386";"3.7";"0";"0"
"1/01/2002 05:00";"18.2703384592942";"3.625";"0";"0"
"1/01/2002 06:00";"18.0738619645116";"3.525";"28.5";"24"
"1/01/2002 07:00";"18.0272839799348";"3.425";"123.25";"80.5"
"1/01/2002 08:00";"18.4056010448033";"3.325";"252.75";"48"
"1/01/2002 09:00";"18.8029443557903";"3.3";"342.75";"82.5"
"1/01/2002 10:00";"19.3307674101267";"3.675";"462.75";"46.5"
"1/01/2002 11:00";"19.7744360553145";"5.075";"590.5";"6.25"
"1/01/2002 12:00";"20.3860311809201";"7.375";"650";"7.5"
"1/01/2002 13:00";"21.011124424727";"9.725";"632.25";"32.75"
"1/01/2002 14:00";"21.5288204177395";"11.725";"493.5";"102.75"
"1/01/2002 15:00";"21.9341145686851";"13.025";"390.75";"109"
"1/01/2002 16:00";"22.1733061222366";"13.525";"262.75";"123"
"1/01/2002 17:00";"22.2329045260209";"13.225";"164.5";"64.75"
"1/01/2002 18:00";"22.0821412403563";"12.35";"53";"25.5"
"1/01/2002 19:00";"21.7765969161302";"11.05";"0";"0"
"1/01/2002 20:00";"21.460944787013";"9.725";"0";"0"
"1/01/2002 21:00";"21.1103176179623";"8.35";"0";"0"
"1/01/2002 22:00";"20.7364069094685";"6.95";"0";"0"
"1/01/2002 23:00";"20.3730928062757";"6";"0";"0"
"2/01/2002 00:00";"19.9677822980852";"4.675";"0";"0"
"2/01/2002 01:00";"19.5800946193157";"3.925";"0";"0"
"2/01/2002 02:00";"19.2128240262404";"3.425";"0";"0"
"2/01/2002 03:00";"18.8450741241058";"3.075";"0";"0"
"2/01/2002 04:00";"18.5124228031067";"2.85";"0";"0"
"2/01/2002 05:00";"18.2201504832857";"2.725";"0";"0"
"2/01/2002 06:00";"17.9965096460794";"2.7";"28.25";"23.75"
"2/01/2002 07:00";"17.834630473106";"2.625";"119.25";"88.25"
"2/01/2002 08:00";"18.0390259423782";"2.525";"242.75";"77.75"
"2/01/2002 09:00";"18.3598606190828";"2.425";"344.75";"98.25"
"2/01/2002 10:00";"18.8785771251923";"2.4";"442.5";"86"
"2/01/2002 11:00";"19.2315102080105";"2.925";"467.5";"129"
"2/01/2002 12:00";"19.7073614208024";"4.6";"491.75";"134.25"
"2/01/2002 13:00";"20.2341531906577";"6.975";"489.5";"124"
"2/01/2002 14:00";"20.7320280330721";"9.175";"472.5";"72"
"2/01/2002 15:00";"21.1368215331746";"10.9";"376.75";"74.25"
"2/01/2002 16:00";"21.4110250952405";"12.125";"259.25";"87.25"
"2/01/2002 17:00";"21.5306734775212";"12.775";"158.5";"72.25"
"2/01/2002 18:00";"21.4768730995586";"12.75";"53";"39"
"2/01/2002 19:00";"21.270077318418";"11.875";"0";"0"
"2/01/2002 20:00";"21.0116995135698";"10.025";"0";"0"
"2/01/2002 21:00";"20.6719049489189";"7.7";"0";"0"
"2/01/2002 22:00";"20.2972515524751";"5.75";"0";"0"
"2/01/2002 23:00";"19.9287833565395";"4.775";"0";"0"
"3/01/2002 00:00";"19.5375698302391";"3.85";"0";"0"
"3/01/2002 01:00";"19.1691838573582";"3.375";"0";"0"
"3/01/2002 02:00";"18.8208620210129";"3.075";"0";"0"
"3/01/2002 03:00";"18.5111419250635";"2.925";"0";"0"
"3/01/2002 04:00";"18.2363225378325";"2.75";"0";"0"
"3/01/2002 05:00";"17.9959114041803";"2.55";"0";"0"
"3/01/2002 06:00";"17.8171015638858";"2.5";"32.25";"31"
"3/01/2002 07:00";"17.8027496985146";"2.425";"132.25";"125"
"3/01/2002 08:00";"18.2238659812712";"2.175";"253.25";"143"
"3/01/2002 09:00";"18.6743713035434";"2.025";"353.75";"170.75"
"3/01/2002 10:00";"19.2755914007595";"2.6";"463.25";"134.25"
"3/01/2002 11:00";"19.7186674251508";"4.675";"469.5";"174"
"3/01/2002 12:00";"20.2889172450322";"7.7";"493.25";"152"
"3/01/2002 13:00";"20.6398156539928";"10.45";"489";"137.25"
"3/01/2002 14:00";"20.7110566959844";"12.375";"472.25";"139.25"
"3/01/2002 15:00";"20.9515150415059";"13.025";"379.25";"192"
"3/01/2002 16:00";"21.2345328685937";"12.575";"255";"235"
"3/01/2002 17:00";"21.3650643791449";"11.8";"157.5";"139.25"
"3/01/2002 18:00";"21.2562957612558";"10.775";"54.5";"44.25"
"3/01/2002 19:00";"20.9839038653687";"9.525";"0";"0"
"3/01/2002 20:00";"20.691097539186";"7.775";"0";"0"
"3/01/2002 21:00";"20.347997579435";"5.95";"0";"0"
"3/01/2002 22:00";"19.9905340830956";"4.675";"0";"0"
"3/01/2002 23:00";"19.6562695559654";"4.1";"0";"0"
"4/01/2002 00:00";"19.2890494270536";"3.475";"0";"0"
"4/01/2002 01:00";"18.9326818338075";"3.15";"0";"0"
"4/01/2002 02:00";"18.6170547996228";"2.875";"0";"0"
"4/01/2002 03:00";"18.3386652683802";"2.725";"0";"0"
"4/01/2002 04:00";"18.0392835674125";"2.55";"0";"0"
"4/01/2002 05:00";"17.795865432447";"2.425";"0";"0"
"4/01/2002 06:00";"17.6466284222907";"2.325";"27.25";"24.25"
"4/01/2002 07:00";"17.5508957353861";"2.3";"121.25";"81.25"
"4/01/2002 08:00";"17.804852606572";"2.3";"249.75";"49.5"
"4/01/2002 09:00";"18.1241366266193";"2.375";"338";"87.25"
"4/01/2002 10:00";"18.6208204328562";"2.925";"431.5";"71.25"
"4/01/2002 11:00";"18.993677344182";"4.675";"458.75";"101.25"
"4/01/2002 12:00";"19.5384225453427";"7.45";"480.75";"99"
"4/01/2002 13:00";"20.1214421017674";"10.225";"467";"99.75"
"4/01/2002 14:00";"20.6537695236129";"12.475";"428.25";"91.75"
"4/01/2002 15:00";"21.0991804137271";"13.75";"372.75";"68.25"
"4/01/2002 16:00";"21.3895966615385";"14.15";"259.5";"83.5"
"4/01/2002 17:00";"21.5004601279488";"13.975";"154.75";"51.5"
"4/01/2002 18:00";"21.415991440199";"13.225";"53";"10.5"
