"Date/Time";"Lighting";"Heating (Electricity)";"DHW (Electricity)";
;"kW";"kW";"kW";
"1/01/2002 01:00:00";"0";"0";"0";
"1/01/2002 02:00:00";"0";"0";"0";
"1/01/2002 03:00:00";"0";"0";"0";
"1/01/2002 04:00:00";"0";"0";"0";
"1/01/2002 05:00:00";"0";"0";"0";
"1/01/2002 06:00:00";"0";"0";"15.25585";
"1/01/2002 07:00:00";"0";"0";"15.25585";
"1/01/2002 08:00:00";"1.13562";"0";"0";
"1/01/2002 09:00:00";"1.13562";"0";"0";
"1/01/2002 10:00:00";"1.13562";"0";"0";
"1/01/2002 11:00:00";"0";"0";"0";
"1/01/2002 12:00:00";"0";"0";"0";
"1/01/2002 13:00:00";"0";"0";"0";
"1/01/2002 14:00:00";"0";"0";"0";
"1/01/2002 15:00:00";"0";"0";"0";
"1/01/2002 16:00:00";"0";"0";"0";
"1/01/2002 17:00:00";"0";"0";"0";
"1/01/2002 18:00:00";"0";"0";"0";
"1/01/2002 19:00:00";"0";"0";"15.25585";
"1/01/2002 20:00:00";"0.323354";"0";"0";
"1/01/2002 21:00:00";"0.323354";"0";"0";
"1/01/2002 22:00:00";"0.323354";"0";"0";
"1/01/2002 23:00:00";"0.323354";"0";"0";
"1/01/2002";"0";"0";"0";
"2/01/2002 01:00:00";"0";"0";"0";
"2/01/2002 02:00:00";"0";"0";"0";
"2/01/2002 03:00:00";"0";"0";"0";
"2/01/2002 04:00:00";"0";"0";"0";
"2/01/2002 05:00:00";"0";"0";"0";
"2/01/2002 06:00:00";"0";"0";"15.25585";
"2/01/2002 07:00:00";"0";"0";"15.25585";
"2/01/2002 08:00:00";"1.13562";"0";"0";
"2/01/2002 09:00:00";"1.13562";"0";"0";
"2/01/2002 10:00:00";"1.13562";"0";"0";
"2/01/2002 11:00:00";"0";"0";"0";
"2/01/2002 12:00:00";"0";"0";"0";
"2/01/2002 13:00:00";"0";"0";"0";
"2/01/2002 14:00:00";"0";"0";"0";
"2/01/2002 15:00:00";"0";"0";"0";
"2/01/2002 16:00:00";"0";"0";"0";
"2/01/2002 17:00:00";"0";"0";"0";
