1;"eplusout"

"Date/Time";"[1] DistrictHeating:Facility (W)";"[1] Water Use Equipment Heating Rate (W)";"[1] Water Use Equipment Heating Rate (W)";"[1] Site Diffuse Solar Radiation Rate per Area (W/m2)";"[1] Site Direct Solar Radiation Rate per Area (W/m2)"
;"DistrictHeating:Facility [W]";"DHW 4292";"DHW 4299";"Environment";"Environment"
"1/01/2002 01:00";"0";"0";"0";"0";"0"
"1/01/2002 02:00";"0";"0";"0";"0";"0"
"1/01/2002 03:00";"0";"0";"0";"0";"0"
"1/01/2002 04:00";"0";"0";"0";"0";"0"
"1/01/2002 05:00";"0";"0";"0";"0";"0"
"1/01/2002 06:00";"12967.4721003187";"1806.7437125594";"11160.7283877593";"28.5";"24"
"1/01/2002 07:00";"12967.4721003187";"1806.7437125594";"11160.7283877593";"123.25";"80.5"
"1/01/2002 08:00";"0";"0";"0";"252.75";"48"
"1/01/2002 09:00";"0";"0";"0";"342.75";"82.5"
"1/01/2002 10:00";"0";"0";"0";"462.75";"46.5"
"1/01/2002 11:00";"0";"0";"0";"590.5";"6.25"
"1/01/2002 12:00";"0";"0";"0";"650";"7.5"
"1/01/2002 13:00";"0";"0";"0";"632.25";"32.75"
"1/01/2002 14:00";"0";"0";"0";"493.5";"102.75"
"1/01/2002 15:00";"0";"0";"0";"390.75";"109"
"1/01/2002 16:00";"0";"0";"0";"262.75";"123"
"1/01/2002 17:00";"0";"0";"0";"164.5";"64.75"
"1/01/2002 18:00";"0";"0";"0";"53";"25.5"
"1/01/2002 19:00";"12967.4721003187";"1806.7437125594";"11160.7283877592";"0";"0"
"1/01/2002 20:00";"0";"0";"0";"0";"0"
"1/01/2002 21:00";"0";"0";"0";"0";"0"
"1/01/2002 22:00";"0";"0";"0";"0";"0"
"1/01/2002 23:00";"0";"0";"0";"0";"0"
"2/01/2002 00:00";"0";"0";"0";"0";"0"
"2/01/2002 01:00";"0";"0";"0";"0";"0"
"2/01/2002 02:00";"0";"0";"0";"0";"0"
"2/01/2002 03:00";"0";"0";"0";"0";"0"
"2/01/2002 04:00";"0";"0";"0";"0";"0"
"2/01/2002 05:00";"0";"0";"0";"0";"0"
"2/01/2002 06:00";"12967.4721003187";"1806.7437125594";"11160.7283877593";"28.25";"23.75"
"2/01/2002 07:00";"12967.4721003187";"1806.7437125594";"11160.7283877593";"119.25";"88.25"
"2/01/2002 08:00";"0";"0";"0";"242.75";"77.75"
"2/01/2002 09:00";"0";"0";"0";"344.75";"98.25"
"2/01/2002 10:00";"0";"0";"0";"442.5";"86"
"2/01/2002 11:00";"0";"0";"0";"467.5";"129"
"2/01/2002 12:00";"0";"0";"0";"491.75";"134.25"
"2/01/2002 13:00";"0";"0";"0";"489.5";"124"
"2/01/2002 14:00";"0";"0";"0";"472.5";"72"
"2/01/2002 15:00";"0";"0";"0";"376.75";"74.25"
"2/01/2002 16:00";"0";"0";"0";"259.25";"87.25"
"2/01/2002 17:00";"0";"0";"0";"158.5";"72.25"
"2/01/2002 18:00";"0";"0";"0";"53";"39"
"2/01/2002 19:00";"12967.4721003187";"1806.7437125594";"11160.7283877593";"0";"0"
"2/01/2002 20:00";"0";"0";"0";"0";"0"
"2/01/2002 21:00";"0";"0";"0";"0";"0"
"2/01/2002 22:00";"0";"0";"0";"0";"0"
"2/01/2002 23:00";"0";"0";"0";"0";"0"
"3/01/2002 00:00";"0";"0";"0";"0";"0"
"3/01/2002 01:00";"0";"0";"0";"0";"0"
"3/01/2002 02:00";"0";"0";"0";"0";"0"
"3/01/2002 03:00";"0";"0";"0";"0";"0"
"3/01/2002 04:00";"0";"0";"0";"0";"0"
"3/01/2002 05:00";"1.77865671974735";"0";"0";"0";"0"
"3/01/2002 06:00";"12978.0048417613";"1806.7437125594";"11160.7283877593";"32.25";"31"
"3/01/2002 07:00";"12979.1630040063";"1806.7437125594";"11160.7283877593";"132.25";"125"
"3/01/2002 08:00";"0";"0";"0";"253.25";"143"
"3/01/2002 09:00";"0";"0";"0";"353.75";"170.75"
"3/01/2002 10:00";"0";"0";"0";"463.25";"134.25"
"3/01/2002 11:00";"0";"0";"0";"469.5";"174"
"3/01/2002 12:00";"0";"0";"0";"493.25";"152"
"3/01/2002 13:00";"0";"0";"0";"489";"137.25"
"3/01/2002 14:00";"0";"0";"0";"472.25";"139.25"
"3/01/2002 15:00";"0";"0";"0";"379.25";"192"
"3/01/2002 16:00";"0";"0";"0";"255";"235"
"3/01/2002 17:00";"0";"0";"0";"157.5";"139.25"
"3/01/2002 18:00";"0";"0";"0";"54.5";"44.25"
"3/01/2002 19:00";"12967.4721003187";"1806.7437125594";"11160.7283877593";"0";"0"
"3/01/2002 20:00";"0";"0";"0";"0";"0"
"3/01/2002 21:00";"0";"0";"0";"0";"0"
"3/01/2002 22:00";"0";"0";"0";"0";"0"
"3/01/2002 23:00";"0";"0";"0";"0";"0"
"4/01/2002 00:00";"0";"0";"0";"0";"0"
"4/01/2002 01:00";"0";"0";"0";"0";"0"
"4/01/2002 02:00";"0";"0";"0";"0";"0"
"4/01/2002 03:00";"0";"0";"0";"0";"0"
"4/01/2002 04:00";"0";"0";"0";"0";"0"
"4/01/2002 05:00";"9.14363881746283";"0";"0";"0";"0"
"4/01/2002 06:00";"13002.0123673269";"1806.7437125594";"11160.7283877593";"27.25";"24.25"
"4/01/2002 07:00";"13071.8145546233";"1806.7437125594";"11160.7283877593";"121.25";"81.25"
"4/01/2002 08:00";"12.6342921319714";"0";"0";"249.75";"49.5"
"4/01/2002 09:00";"0";"0";"0";"338";"87.25"
"4/01/2002 10:00";"0";"0";"0";"431.5";"71.25"
"4/01/2002 11:00";"0";"0";"0";"458.75";"101.25"
"4/01/2002 12:00";"0";"0";"0";"480.75";"99"
"4/01/2002 13:00";"0";"0";"0";"467";"99.75"
"4/01/2002 14:00";"0";"0";"0";"428.25";"91.75"
"4/01/2002 15:00";"0";"0";"0";"372.75";"68.25"
"4/01/2002 16:00";"0";"0";"0";"259.5";"83.5"
"4/01/2002 17:00";"0";"0";"0";"154.75";"51.5"
"4/01/2002 18:00";"0";"0";"0";"53";"10.5"
"4/01/2002 19:00";"12967.4721003187";"1806.7437125594";"11160.7283877593";"0";"0"
"4/01/2002 20:00";"0";"0";"0";"0";"0"
"4/01/2002 21:00";"0";"0";"0";"0";"0"
"4/01/2002 22:00";"0";"0";"0";"0";"0"
"4/01/2002 23:00";"0";"0";"0";"0";"0"
"5/01/2002 00:00";"0";"0";"0";"0";"0"
"5/01/2002 01:00";"3.46235742657223";"0";"0";"0";"0"
"5/01/2002 02:00";"25.8790386351634";"0";"0";"0";"0"
"5/01/2002 03:00";"89.3471013832052";"0";"0";"0";"0"
"5/01/2002 04:00";"246.071515615722";"0";"0";"0";"0"
"5/01/2002 05:00";"407.935863762775";"0";"0";"0";"0"
"5/01/2002 06:00";"13472.8223140426";"1806.7437125594";"11160.7283877593";"31";"56.5"
"5/01/2002 07:00";"13391.968639949";"1806.7437125594";"11160.7283877593";"132.75";"209"
"5/01/2002 08:00";"11.3590173151127";"0";"0";"264.5";"176.25"
"5/01/2002 09:00";"0";"0";"0";"342.5";"211"
"5/01/2002 10:00";"0";"0";"0";"443";"157.75"
"5/01/2002 11:00";"0";"0";"0";"469.5";"172"
"5/01/2002 12:00";"0";"0";"0";"493.5";"149.75"
"5/01/2002 13:00";"0";"0";"0";"478.25";"138.5"
"5/01/2002 14:00";"0";"0";"0";"440.25";"128.75"
"5/01/2002 15:00";"0";"0";"0";"389.25";"98.75"
"5/01/2002 16:00";"0";"0";"0";"265.25";"131"
"5/01/2002 17:00";"0";"0";"0";"166.5";"105.5"
"5/01/2002 18:00";"0";"0";"0";"57";"62.25"
"5/01/2002 19:00";"12967.4721003187";"1806.7437125594";"11160.7283877592";"0";"0"
"5/01/2002 20:00";"0";"0";"0";"0";"0"
"5/01/2002 21:00";"0";"0";"0";"0";"0"
"5/01/2002 22:00";"0";"0";"0";"0";"0"
"5/01/2002 23:00";"0";"0";"0";"0";"0"
"6/01/2002 00:00";"0";"0";"0";"0";"0"
"6/01/2002 01:00";"0";"0";"0";"0";"0"
"6/01/2002 02:00";"10.8284902383839";"0";"0";"0";"0"
"6/01/2002 03:00";"48.129594146743";"0";"0";"0";"0"
"6/01/2002 04:00";"162.14855793229";"0";"0";"0";"0"
"6/01/2002 05:00";"340.203408874631";"0";"0";"0";"0"
"6/01/2002 06:00";"13460.3330088577";"1806.7437125594";"11160.7283877593";"25.75";"12.25"
"6/01/2002 07:00";"13486.5402350675";"1806.7437125594";"11160.7283877593";"124.5";"61.75"
"6/01/2002 08:00";"46.5196162517157";"0";"0";"238.5";"112.75"
"6/01/2002 09:00";"0";"0";"0";"345.25";"150.5"
"6/01/2002 10:00";"0";"0";"0";"478";"113.5"
"6/01/2002 11:00";"0";"0";"0";"605.75";"6.75"
"6/01/2002 12:00";"0";"0";"0";"602";"5.75"
"6/01/2002 13:00";"0";"0";"0";"542";"33.25"
"6/01/2002 14:00";"0";"0";"0";"436.75";"108"
"6/01/2002 15:00";"0";"0";"0";"385.75";"92.25"
"6/01/2002 16:00";"0";"0";"0";"266.75";"119.75"
"6/01/2002 17:00";"0";"0";"0";"167";"73.25"
"6/01/2002 18:00";"0";"0";"0";"51.5";"53.25"
"6/01/2002 19:00";"12967.4721003187";"1806.7437125594";"11160.7283877592";"0";"0"
"6/01/2002 20:00";"0";"0";"0";"0";"0"
"6/01/2002 21:00";"0";"0";"0";"0";"0"
"6/01/2002 22:00";"0";"0";"0";"0";"0"
"6/01/2002 23:00";"0";"0";"0";"0";"0"
"7/01/2002 00:00";"0";"0";"0";"0";"0"
"7/01/2002 01:00";"0";"0";"0";"0";"0"
"7/01/2002 02:00";"6.18022127677989";"0";"0";"0";"0"
"7/01/2002 03:00";"29.9334774552967";"0";"0";"0";"0"
"7/01/2002 04:00";"140.213885260416";"0";"0";"0";"0"
"7/01/2002 05:00";"295.060772469365";"0";"0";"0";"0"
"7/01/2002 06:00";"13392.2047299669";"1806.7437125594";"11160.7283877593";"25.25";"12"
"7/01/2002 07:00";"13424.66488036";"1806.7437125594";"11160.7283877593";"127.25";"44.75"
"7/01/2002 08:00";"49.7827289984477";"0";"0";"247";"50.5"
"7/01/2002 09:00";"2.68648177002763";"0";"0";"336.25";"88.25"
"7/01/2002 10:00";"0";"0";"0";"430.75";"72.25"
"7/01/2002 11:00";"0";"0";"0";"459";"102.25"
"7/01/2002 12:00";"0";"0";"0";"482";"100"
"7/01/2002 13:00";"0";"0";"0";"469";"101"
"7/01/2002 14:00";"0";"0";"0";"430.5";"93.5"
"7/01/2002 15:00";"0";"0";"0";"374.75";"71"
"7/01/2002 16:00";"0";"0";"0";"259.5";"90.25"
