1;"eplusout"

"Date/Time";"[1] DistrictHeating:Facility (W)";"[1] Water Use Equipment Heating Rate (W)";"[1] Water Use Equipment Heating Rate (W)"
;"DistrictHeating:Facility [W]";"DHW 4292";"DHW 4299"
"1/01/2002 01:00";"0";"0";"0"
"1/01/2002 02:00";"0";"0";"0"
"1/01/2002 03:00";"0";"0";"0"
"1/01/2002 04:00";"0";"0";"0"
"1/01/2002 05:00";"0";"0";"0"
"1/01/2002 06:00";"15447.6339642652";"1806.7437125594";"13640.8902517058"
"1/01/2002 07:00";"15447.6339642652";"1806.7437125594";"13640.8902517058"
"1/01/2002 08:00";"0";"0";"0"
"1/01/2002 09:00";"0";"0";"0"
"1/01/2002 10:00";"0";"0";"0"
"1/01/2002 11:00";"0";"0";"0"
"1/01/2002 12:00";"0";"0";"0"
"1/01/2002 13:00";"0";"0";"0"
"1/01/2002 14:00";"0";"0";"0"
"1/01/2002 15:00";"0";"0";"0"
"1/01/2002 16:00";"0";"0";"0"
"1/01/2002 17:00";"0";"0";"0"
"1/01/2002 18:00";"0";"0";"0"
"1/01/2002 19:00";"15447.6339642652";"1806.7437125594";"13640.8902517058"
"1/01/2002 20:00";"0";"0";"0"
"1/01/2002 21:00";"0";"0";"0"
"1/01/2002 22:00";"0";"0";"0"
"1/01/2002 23:00";"0";"0";"0"
"2/01/2002 00:00";"0";"0";"0"
"2/01/2002 01:00";"0";"0";"0"
"2/01/2002 02:00";"0";"0";"0"
"2/01/2002 03:00";"0";"0";"0"
"2/01/2002 04:00";"0";"0";"0"
"2/01/2002 05:00";"0";"0";"0"
"2/01/2002 06:00";"15447.6339642652";"1806.7437125594";"13640.8902517058"
"2/01/2002 07:00";"15447.6339642652";"1806.7437125594";"13640.8902517058"
"2/01/2002 08:00";"0";"0";"0"
"2/01/2002 09:00";"0";"0";"0"
"2/01/2002 10:00";"0";"0";"0"
"2/01/2002 11:00";"0";"0";"0"
"2/01/2002 12:00";"0";"0";"0"
"2/01/2002 13:00";"0";"0";"0"
"2/01/2002 14:00";"0";"0";"0"
"2/01/2002 15:00";"0";"0";"0"
"2/01/2002 16:00";"0";"0";"0"
"2/01/2002 17:00";"0";"0";"0"
"2/01/2002 18:00";"0";"0";"0"
"2/01/2002 19:00";"15447.6339642652";"1806.7437125594";"13640.8902517058"
"2/01/2002 20:00";"0";"0";"0"
"2/01/2002 21:00";"0";"0";"0"
"2/01/2002 22:00";"0";"0";"0"
"2/01/2002 23:00";"0";"0";"0"
"3/01/2002 00:00";"0";"0";"0"
"3/01/2002 01:00";"0";"0";"0"
"3/01/2002 02:00";"0";"0";"0"
"3/01/2002 03:00";"0";"0";"0"
"3/01/2002 04:00";"0";"0";"0"
"3/01/2002 05:00";"1.77865671974735";"0";"0"
"3/01/2002 06:00";"15458.1667057078";"1806.7437125594";"13640.8902517058"
"3/01/2002 07:00";"15459.3248679528";"1806.7437125594";"13640.8902517058"
"3/01/2002 08:00";"0";"0";"0"
"3/01/2002 09:00";"0";"0";"0"
"3/01/2002 10:00";"0";"0";"0"
"3/01/2002 11:00";"0";"0";"0"
"3/01/2002 12:00";"0";"0";"0"
"3/01/2002 13:00";"0";"0";"0"
"3/01/2002 14:00";"0";"0";"0"
"3/01/2002 15:00";"0";"0";"0"
"3/01/2002 16:00";"0";"0";"0"
"3/01/2002 17:00";"0";"0";"0"
"3/01/2002 18:00";"0";"0";"0"
"3/01/2002 19:00";"15447.6339642652";"1806.7437125594";"13640.8902517058"
"3/01/2002 20:00";"0";"0";"0"
"3/01/2002 21:00";"0";"0";"0"
"3/01/2002 22:00";"0";"0";"0"
"3/01/2002 23:00";"0";"0";"0"
"4/01/2002 00:00";"0";"0";"0"
"4/01/2002 01:00";"0";"0";"0"
"4/01/2002 02:00";"0";"0";"0"
"4/01/2002 03:00";"0";"0";"0"
"4/01/2002 04:00";"0";"0";"0"
"4/01/2002 05:00";"9.14363881746283";"0";"0"
"4/01/2002 06:00";"15482.1742312734";"1806.7437125594";"13640.8902517058"
"4/01/2002 07:00";"15551.9764185698";"1806.7437125594";"13640.8902517058"
"4/01/2002 08:00";"12.6342921319714";"0";"0"
"4/01/2002 09:00";"0";"0";"0"
"4/01/2002 10:00";"0";"0";"0"
"4/01/2002 11:00";"0";"0";"0"
"4/01/2002 12:00";"0";"0";"0"
"4/01/2002 13:00";"0";"0";"0"
"4/01/2002 14:00";"0";"0";"0"
"4/01/2002 15:00";"0";"0";"0"
"4/01/2002 16:00";"0";"0";"0"
"4/01/2002 17:00";"0";"0";"0"
"4/01/2002 18:00";"0";"0";"0"
"4/01/2002 19:00";"15447.6339642652";"1806.7437125594";"13640.8902517058"
"4/01/2002 20:00";"0";"0";"0"
"4/01/2002 21:00";"0";"0";"0"
"4/01/2002 22:00";"0";"0";"0"
"4/01/2002 23:00";"0";"0";"0"
"5/01/2002 00:00";"0";"0";"0"
"5/01/2002 01:00";"3.46235742657223";"0";"0"
"5/01/2002 02:00";"25.8790386351634";"0";"0"
"5/01/2002 03:00";"89.3471013832052";"0";"0"
"5/01/2002 04:00";"246.071515615722";"0";"0"
"5/01/2002 05:00";"407.935863762775";"0";"0"
"5/01/2002 06:00";"15952.9841779891";"1806.7437125594";"13640.8902517058"
"5/01/2002 07:00";"15872.1305038955";"1806.7437125594";"13640.8902517058"
"5/01/2002 08:00";"11.3590173151127";"0";"0"
"5/01/2002 09:00";"0";"0";"0"
"5/01/2002 10:00";"0";"0";"0"
"5/01/2002 11:00";"0";"0";"0"
"5/01/2002 12:00";"0";"0";"0"
"5/01/2002 13:00";"0";"0";"0"
"5/01/2002 14:00";"0";"0";"0"
"5/01/2002 15:00";"0";"0";"0"
"5/01/2002 16:00";"0";"0";"0"
"5/01/2002 17:00";"0";"0";"0"
"5/01/2002 18:00";"0";"0";"0"
"5/01/2002 19:00";"15447.6339642652";"1806.7437125594";"13640.8902517057"
"5/01/2002 20:00";"0";"0";"0"
"5/01/2002 21:00";"0";"0";"0"
"5/01/2002 22:00";"0";"0";"0"
"5/01/2002 23:00";"0";"0";"0"
