,Año,*Mes,*Día,*Hora,*Minuto,Orígen de datos e incertidumbre,*Tseca(°C),*Trocío(°C),*HR(%),*Patm(Pa),RadHorExtrat(Wh/m²),RadNorExtrat(Wh/m²),*RadInfrCielo(Wh/m²),RadGloHor(Wh/m²),*RadDirNor(Wh/m²),*RadDifHor(Wh/m²),IllumGloHor(lux),IllumDirNor(lux),IllumDifHor(lux),LuminZenith(Cd/m²),*DirVien(°),*VelVien(m/s),CobCielTot(x/10),*CobCielOpac(x/10),Visib(km),AltTech(m),*PresWeathObs,*PresWeathCodes,AguaPrec(mm),ProfÓptAeros(.001),*ProfNiev(cm),DíasUltNev,Albedo(.01),*ProfPrecLiq(mm),CantPrecLiq(hr),tem_hum
0,2002,1,1,1,60,C9C9C9*0*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8*0*0,4.1,1.6,72,67917,0,1415,335,0,0,0,0,0,0,0,0,0.0,10,10,20.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,1.6231310840054842
1,2002,1,1,2,60,C9C9C9*0*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,3.8,1.2,70,67917,0,1415,337,0,0,0,0,0,0,0,0,0.0,10,10,20.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,1.1882926300776848
2,2002,1,1,3,60,C9C9C9*0*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,3.7,1.0,69,67917,0,1415,330,0,0,0,0,0,0,0,0,0.0,10,9,20.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,1.0194344472452581
3,2002,1,1,4,60,C9C9C9*0*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,3.7,0.9,68,67917,0,1415,333,0,0,0,0,0,0,0,0,0.0,10,9,20.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,0.9442607562363721
4,2002,1,1,5,60,C9C9C9*0*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,3.6,0.9,68,67917,0,1415,328,0,0,0,0,0,0,0,0,0.0,10,8,20.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,0.8517174269049059
5,2002,1,1,6,60,C9C9C9*0*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0,3.5,0.8,68,67917,49,1415,329,9,0,9,1000,0,1000,300,0,0.0,10,8,20.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,0.7591740431078309
6,2002,1,1,7,60,A7A7E8*0*0G9G9G9I9I9I9I9A7A7A7A7A7A7*0E8*0*0,3.4,0.4,65,67917,344,1415,331,110,96,87,12500,7500,10700,1900,0,0.0,10,7,20.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,0.44716507816977824
7,2002,1,1,8,60,B8B8E8*0*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0,3.3,0.2,63,67917,659,1415,340,248,34,232,28400,2300,26700,9550,0,0.0,10,8,13.3,1500,9,999999999,0,0.059,0,88,0.1,0,1,0.21268571085729526
8,2002,1,1,9,60,B8B8E8*0*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0,3.3,0.1,61,67917,938,1415,350,374,90,315,41800,8600,36200,11350,0,0.0,10,9,6.7,1500,9,999999999,0,0.059,0,88,0.1,0,1,0.0720341159342901
9,2002,1,1,10,60,A7A7E8*0*0G9G9G9I9I9I9I9A7A7A7A7A7A7*0E8*0*0,3.8,0.5,60,67917,1161,1415,364,476,60,426,53200,5800,49000,18260,0,0.0,10,10,0.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,0.45190358042452594
10,2002,1,1,11,60,B8B8E8*0*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0,5.5,1.5,53,67917,1314,1415,358,579,6,573,68100,500,67900,25370,0,0.0,9,9,6.7,1500,9,999999999,0,0.059,0,88,0.1,0,1,1.451495394821646
11,2002,1,1,12,60,B8B8E8*0*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0,8.0,3.2,48,67917,1387,1415,355,650,7,643,76500,600,76200,27890,0,0.0,8,8,13.3,1500,9,999999999,0,0.059,0,88,0.1,0,1,3.21577003286649
12,2002,1,1,13,60,A7A7E8*0*0G9G9G9I9I9I9I9A7A7A7A7A7A7*0E8*0*0,10.3,4.7,43,67917,1373,1415,353,680,9,671,79600,800,79100,28580,0,0.0,7,7,20.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,4.710049786499306
13,2002,1,1,14,60,B8B8E8*0*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0,12.2,6.3,43,67917,1276,1415,359,610,104,516,68100,10100,59000,25540,0,0.0,8,8,20.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,6.283559744639705
14,2002,1,1,15,60,B8B8E8*0*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0,13.3,7.2,43,67917,1100,1415,359,503,99,426,56100,9600,48800,17060,0,0.0,8,8,20.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,7.194519285011806
15,2002,1,1,16,60,A7A7E8*0*0G9G9G9I9I9I9I9A7A7A7A7A7A7*0E8*0*0,13.6,7.4,43,67917,857,1415,366,369,139,285,41500,13700,33800,7740,0,0.0,9,9,20.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,7.442960409812089
16,2002,1,1,17,60,B8B8E8*0*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0,13.1,7.3,46,67917,566,1415,362,226,75,196,25100,6800,22400,5720,0,1.7,9,9,20.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,7.346508430827964
17,2002,1,1,18,60,B8B8E8*0*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0,12.1,6.8,49,67917,244,1415,357,76,34,70,8500,2500,8100,1830,0,3.4,9,9,20.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,6.80640509573632
18,2002,1,1,19,60,A7A7E8*0*0G9G9G9I9I9I9I9A7A7A7A7A7A7*0E8*0*0,10.7,6.0,53,67917,9,1415,352,2,0,2,200,0,200,70,330,5.1,9,9,20.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,5.987031789729048
19,2002,1,1,20,60,B8B8E8*0*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,9.4,4.9,53,67917,0,1415,343,0,0,0,0,0,0,0,330,4.3,8,8,19.7,1500,9,999999999,0,0.059,0,88,0.1,0,1,4.85316948304887
20,2002,1,1,21,60,B8B8E8*0*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,8.0,3.7,54,67917,0,1415,335,0,0,0,0,0,0,0,330,3.4,7,7,19.3,1500,9,999999999,0,0.059,0,88,0.1,0,1,3.7161116421700395
21,2002,1,1,22,60,B8B8E8*0*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,6.6,2.6,55,67917,0,1415,330,0,0,0,0,0,0,0,330,2.6,6,6,19.0,1500,9,999999999,0,0.059,0,88,0.1,0,1,2.5682850798204395
22,2002,1,1,23,60,B8B8E8*0*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,5.8,1.9,56,67917,0,1415,326,0,0,0,0,0,0,0,330,1.7,5,5,18.7,1500,9,999999999,0,0.059,0,88,0.1,0,1,1.9403510935712962
23,2002,1,1,24,60,B8B8E8*0*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,4.3,0.7,57,67917,0,1415,324,0,0,0,0,0,0,0,330,0.8,5,5,18.3,1500,9,999999999,0,0.059,0,88,0.1,0,1,0.6853405092443197
24,2002,1,2,1,60,A7A7E8*0*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8*0*0,3.8,0.2,57,67917,0,1415,320,0,0,0,0,0,0,0,0,0.0,4,4,18.0,22000,9,999999999,0,0.058,0,88,0.1,0,1,0.24147189352514165
25,2002,1,2,2,60,B8B8E8*0*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,3.3,0.1,62,67917,0,1415,318,0,0,0,0,0,0,0,0,0.0,5,5,17.0,22000,9,999999999,0,0.058,0,88,0.1,0,1,0.14207689799340173
26,2002,1,2,3,60,B8B8E8*0*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,3.0,0.2,66,67917,0,1415,314,0,0,0,0,0,0,0,0,0.0,5,5,16.0,22000,9,999999999,0,0.058,0,88,0.1,0,1,0.1521536737772884
