Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,1175064,-,-,-,-11.59,-76.14,0,4598,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.2
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Direction,Wind Speed,Surface Albedo,Pressure,Dew Point
2015,1,1,0,30,0,0,0,4.4,192,1.9000000000000001,0.16,613,1
2015,1,1,1,30,0,0,0,4.1000000000000005,187,1.2000000000000002,0.16,613,0.7000000000000001
2015,1,1,2,30,0,0,0,3.8000000000000003,179,0.8,0.16,613,0.4
2015,1,1,3,30,0,0,0,3.7,160,0.6000000000000001,0.16,613,0.1
2015,1,1,4,30,0,0,0,3.7,144,0.4,0.16,612,-0.2
2015,1,1,5,30,0,0,0,3.6,151,0.30000000000000004,0.16,612,-0.5
2015,1,1,6,30,0,0,0,3.5,174,0.2,0.16,611,-0.7000000000000001
2015,1,1,7,30,0,0,0,3.4000000000000004,198,0.2,0.16,611,-0.8
2015,1,1,8,30,0,0,0,3.3000000000000003,196,0.2,0.16,611,-1
2015,1,1,9,30,0,0,0,3.3000000000000003,151,0.2,0.16,612,-1.1
2015,1,1,10,30,0,0,0,3.8000000000000003,108,0.5,0.16,612,-1.1
2015,1,1,11,30,147,35,675,5.5,113,0.9,0.16,612,-0.9
2015,1,1,12,30,415,52,919,8,135,1,0.16,613,-1.2000000000000002
2015,1,1,13,30,674,63,1014,10.3,139,1,0.16,612,-1.7000000000000002
2015,1,1,14,30,893,73,1060,12.200000000000001,141,0.9,0.16,612,-1.9000000000000001
2015,1,1,15,30,614,525,99,13.3,149,0.8,0.16,612,-1.7000000000000002
2015,1,1,16,30,529,491,40,13.600000000000001,160,0.7000000000000001,0.16,612,-1.1
2015,1,1,17,30,194,174,20,13.100000000000001,179,0.6000000000000001,0.16,611,-0.30000000000000004
2015,1,1,18,30,197,179,20,12.100000000000001,192,0.6000000000000001,0.16,611,0.6000000000000001
2015,1,1,19,30,316,297,23,10.700000000000001,186,0.8,0.16,611,1.4000000000000001
2015,1,1,20,30,82,82,0,9.4,171,0.9,0.16,611,2.1
2015,1,1,21,30,53,53,0,8,159,1.2000000000000002,0.16,611,2.5
2015,1,1,22,30,83,82,7,6.6000000000000005,153,1.5,0.16,611,2.8000000000000003
2015,1,1,23,30,0,0,0,5.800000000000001,150,1.6,0.16,611,3.1
2015,1,2,0,30,0,0,0,4.3,144,1.7000000000000002,0.16,612,3.2
2015,1,2,1,30,0,0,0,3.8000000000000003,131,1.4000000000000001,0.16,612,3.1
2015,1,2,2,30,0,0,0,3.3000000000000003,108,1.2000000000000002,0.16,613,3
2015,1,2,3,30,0,0,0,3,85,1.2000000000000002,0.16,612,2.7
2015,1,2,4,30,0,0,0,2.8000000000000003,72,1.3,0.16,612,2.5
2015,1,2,5,30,0,0,0,2.7,69,1.3,0.16,612,2
2015,1,2,6,30,0,0,0,2.7,71,1.2000000000000002,0.16,611,1.8
