,Date,Branch tank,Branch Tempering valve,Total Aux Loop,One radiant floor,Solar Loop,case
0,1/01/2002 01:00,3.56401406523437e-05,6.37121881864219e-05,9.93523288387656e-05,8.57327754779629e-06,0.0,3
1,1/01/2002 02:00,5.63422178695234e-05,7.84917063395228e-05,0.000134833924209,1.15057120577174e-05,0.0,3
2,1/01/2002 03:00,0.0001069657090053,4.05997869385307e-05,0.0001475654959439,1.22433087990502e-05,0.0,3
3,1/01/2002 04:00,0.0001541446116731,1.40871385938781e-06,0.0001555533255325,1.22433087990502e-05,0.0,3
4,1/01/2002 05:00,0.0001571645144555,2.39139888895863e-08,0.0001571884284444,1.22433087990502e-05,0.0,3
5,1/01/2002 06:00,0.0001571883350304,9.341401912174119e-11,0.0001571884284444,1.22433087990502e-05,0.0,3
6,1/01/2002 07:00,0.0001571884277575,3.43433881277416e-13,0.0001571884284444,1.22433087990502e-05,0.0,3
7,1/01/2002 08:00,0.0001345888386777,1.71702806488445e-08,0.0001346060091301,1.09788104844602e-05,0.0,3
8,1/01/2002 09:00,0.0001073884335668,0.0,0.0001073884335668,8.84709783104952e-06,5e-05,3
9,1/01/2002 10:00,5.60826224020582e-05,2.09021092648164e-08,5.6103524511323e-05,4.36065840593491e-06,5e-05,3
10,1/01/2002 11:00,3.13870041183004e-05,1.52919896955244e-07,3.15399240152556e-05,2.28022527369192e-06,5e-05,3
11,1/01/2002 12:00,5.21186802531082e-06,0.0,5.21186802531082e-06,2.38667249557423e-07,5e-05,3
12,1/01/2002 13:00,0.0,0.0,0.0,0.0,5e-05,3
13,1/01/2002 14:00,0.0,0.0,0.0,0.0,5e-05,3
14,1/01/2002 15:00,0.0,0.0,0.0,0.0,5e-05,3
15,1/01/2002 16:00,0.0,0.0,0.0,0.0,5e-05,3
16,1/01/2002 17:00,0.0,0.0,0.0,0.0,0.0,3
17,1/01/2002 18:00,0.0,0.0,0.0,0.0,0.0,3
18,1/01/2002 19:00,1.74540199213009e-07,8.05031624752979e-09,1.82590515460539e-07,0.0,0.0,3
19,1/01/2002 20:00,8.95816241975647e-07,5.23683990384473e-08,9.48184641014094e-07,1.43569806743552e-08,0.0,3
20,1/01/2002 21:00,0.0,0.0,0.0,0.0,0.0,3
21,1/01/2002 22:00,0.0,0.0,0.0,0.0,0.0,3
22,1/01/2002 23:00,8.4022055652976e-07,5.60147037686507e-08,8.9623526029841e-07,2.07813417954555e-07,0.0,3
