,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Direction,Wind Speed,Surface Albedo,Pressure,Dew Point,Fecha
0,2021,1,1,0,30,0,0,0,4.4,192,1.9,0.16,613,1.0,2021-01-01 00:00:00
1,2021,1,1,1,30,0,0,0,4.1000000000000005,187,1.2000000000000002,0.16,613,0.7000000000000001,2021-01-01 01:00:00
2,2021,1,1,2,30,0,0,0,3.8,179,0.8,0.16,613,0.4,2021-01-01 02:00:00
3,2021,1,1,3,30,0,0,0,3.7,160,0.6000000000000001,0.16,613,0.1,2021-01-01 03:00:00
4,2021,1,1,4,30,0,0,0,3.7,144,0.4,0.16,612,-0.2,2021-01-01 04:00:00
5,2021,1,1,5,30,0,0,0,3.6,151,0.3,0.16,612,-0.5,2021-01-01 05:00:00
6,2021,1,1,6,30,0,0,0,3.5,174,0.2,0.16,611,-0.7000000000000001,2021-01-01 06:00:00
7,2021,1,1,7,30,0,0,0,3.4000000000000004,198,0.2,0.16,611,-0.8,2021-01-01 07:00:00
8,2021,1,1,8,30,0,0,0,3.3000000000000003,196,0.2,0.16,611,-1.0,2021-01-01 08:00:00
9,2021,1,1,9,30,0,0,0,3.3000000000000003,151,0.2,0.16,612,-1.1,2021-01-01 09:00:00
10,2021,1,1,10,30,0,0,0,3.8,108,0.5,0.16,612,-1.1,2021-01-01 10:00:00
11,2021,1,1,11,30,147,35,675,5.5,113,0.9,0.16,612,-0.9,2021-01-01 11:00:00
12,2021,1,1,12,30,415,52,919,8.0,135,1.0,0.16,613,-1.2000000000000002,2021-01-01 12:00:00
13,2021,1,1,13,30,674,63,1014,10.3,139,1.0,0.16,612,-1.7000000000000002,2021-01-01 13:00:00
14,2021,1,1,14,30,893,73,1060,12.2,141,0.9,0.16,612,-1.9,2021-01-01 14:00:00
15,2021,1,1,15,30,614,525,99,13.3,149,0.8,0.16,612,-1.7000000000000002,2021-01-01 15:00:00
16,2021,1,1,16,30,529,491,40,13.6,160,0.7000000000000001,0.16,612,-1.1,2021-01-01 16:00:00
17,2021,1,1,17,30,194,174,20,13.1,179,0.6000000000000001,0.16,611,-0.3,2021-01-01 17:00:00
18,2021,1,1,18,30,197,179,20,12.1,192,0.6000000000000001,0.16,611,0.6000000000000001,2021-01-01 18:00:00
19,2021,1,1,19,30,316,297,23,10.7,186,0.8,0.16,611,1.4,2021-01-01 19:00:00
20,2021,1,1,20,30,82,82,0,9.4,171,0.9,0.16,611,2.1,2021-01-01 20:00:00
21,2021,1,1,21,30,53,53,0,8.0,159,1.2000000000000002,0.16,611,2.5,2021-01-01 21:00:00
22,2021,1,1,22,30,83,82,7,6.6000000000000005,153,1.5,0.16,611,2.8000000000000003,2021-01-01 22:00:00
23,2021,1,1,23,30,0,0,0,5.800000000000001,150,1.6,0.16,611,3.1,2021-01-01 23:00:00
24,2021,1,2,0,30,0,0,0,4.3,144,1.7000000000000002,0.16,612,3.2,2021-01-02 00:00:00
25,2021,1,2,1,30,0,0,0,3.8,131,1.4,0.16,612,3.1,2021-01-02 01:00:00
26,2021,1,2,2,30,0,0,0,3.3000000000000003,108,1.2000000000000002,0.16,613,3.0,2021-01-02 02:00:00
27,2021,1,2,3,30,0,0,0,3.0,85,1.2000000000000002,0.16,612,2.7,2021-01-02 03:00:00
28,2021,1,2,4,30,0,0,0,2.8000000000000003,72,1.3,0.16,612,2.5,2021-01-02 04:00:00
29,2021,1,2,5,30,0,0,0,2.7,69,1.3,0.16,612,2.0,2021-01-02 05:00:00
30,2021,1,2,6,30,0,0,0,2.7,71,1.2000000000000002,0.16,611,1.8,2021-01-02 06:00:00
31,2021,1,2,7,30,0,0,0,2.6,71,1.1,0.16,611,1.7000000000000002,2021-01-02 07:00:00
32,2021,1,2,8,30,0,0,0,2.5,68,0.9,0.16,611,1.6,2021-01-02 08:00:00
33,2021,1,2,9,30,0,0,0,2.4000000000000004,55,0.8,0.16,611,1.5,2021-01-02 09:00:00
34,2021,1,2,10,30,0,0,0,2.4000000000000004,42,1.1,0.16,612,1.3,2021-01-02 10:00:00
35,2021,1,2,11,30,53,53,0,3.1,34,1.3,0.16,612,1.1,2021-01-02 11:00:00
