,number_collector,rendimiento,f_value,aporte_solar_MJ,backup_SOL,CO2_kg,inversion,VAN,TIR,payback
0,1,0.5594424016218847,0.11334467575478877,6514.308839440816,10896.54084574639,20893.245288319264,710.6,4452.337699697519,1.9074220904879553,3
1,2,0.5414598221268706,0.21845425014144204,12555.318044126889,9604.797888517573,18416.431514397977,1318.6,8741.059811437059,2.0043001812460846,2
2,3,0.523937177539688,0.3156775131002385,18143.073773050117,8409.973668757648,16125.451665539451,1926.5999999999997,12662.383655471755,1.9892098085492864,3
3,4,0.506874467860337,0.40536325457145705,23297.62218520241,7307.781736335535,14012.086816557014,2534.6,16232.558250246226,1.9444327814937092,3
4,5,0.4902716930888175,0.48786026449537645,28039.009439575664,6293.935641120156,12068.118042263977,3142.6,19467.8326142051,1.8885361946122212,3
5,6,0.4741288532251297,0.5635173328122752,32387.281695161775,5364.1489329804335,10285.326417473672,3750.5999999999995,22384.455765792994,1.8280407178866893,3
6,7,0.45844594826927326,0.6326832494624326,36362.48511095266,4514.135161785284,8655.493016999408,4358.6,24998.676723454548,1.765825677255497,3
7,8,0.44322297822124845,0.6957068043861269,39984.6658459402,3739.607877403633,7170.398915654516,4966.6,27326.744505634364,1.7033586594110894,3
8,9,0.42845994308105534,0.7529367875236372,43273.87005911632,3036.2806297043967,5821.825188252307,5574.599999999999,29384.90813077709,1.6414657562163621,3
9,10,0.4141568428486937,0.8047219888152423,46250.143909472914,2399.8669685564964,4601.552909606103,6182.6,31189.41661732734,1.5806472964383436,3
10,11,0.4003136775241635,0.8514111982012207,48933.53355600187,1826.0804438288556,3501.363154529229,6790.6,32756.518983729733,1.5212239963049545,3
11,12,0.386930447107465,0.8933532056218513,51344.08515769511,1310.6346053903922,2513.0369978350022,7398.599999999999,34102.46424842891,1.4634111036741326,3
12,13,0.3740071515985981,0.9308968010174133,53501.84487354454,849.2430031100257,1628.355514336739,8006.6,35243.50142986948,1.4073588229590772,3
13,14,0.36154379099756273,0.9643907743281849,55426.85886254204,437.619186856679,839.0997788477629,8614.6,36195.879546496086,1.3531756854537598,3
14,15,0.3495403653043588,0.9941839154944451,57139.17328367952,71.47670649927369,137.05086618139876,9222.6,36975.84761675332,1.300942737722333,3
15,16,0.3379968745189865,1.0206250144564724,58658.83429594887,-253.47088809327175,-486.0101488490401,9830.6,37599.654659085856,1.2507225227100314,3
16,17,0.32691331864144585,1.0440628611545462,60005.88805834204,-541.5100470520373,-1038.3021914302333,10438.6,38083.54969193827,1.2025649732851735,3
17,18,0.3162896976717367,1.0648462455289447,61200.38072985087,-796.9272205081004,-1528.0441867488562,11046.599999999999,38443.78173375522,1.1565114013973377,3
18,19,0.30612601160985914,1.0833239575199467,62262.35846946729,-1024.008858592541,-1963.4550599915897,11654.6,38696.59980298131,1.112597268781256,3
19,20,0.2964222604558131,1.0998447870678316,63211.867436183216,-1227.0414114364414,-2352.753736345121,12262.6,38858.2529180612,1.0708541493974177,3
