,Building,Block,Zone,Comfort Temperature (°C),Steady-State Heat Loss (kW),Intermittent Heat Loss (kW),Design Capacity (kW),Design Capacity (W/m2),Glazing Gains (kW),Wall Gains (kW),Floor Gains (kW),Roof and Ceiling Gains (kW),Ventilation Gains (kW),Infiltration Gains (kW),Unnamed: 14,case
Building 1,Block 1,Dorm 9,18.0,0.46,0.0,0.57,53.055,-0.083,-0.168,0.003,-0.081,-0.04,-0.089,,,1
Building 1,Block 1,Dorm 10,18.0,0.41,0.0,0.51,46.9886,-0.084,-0.118,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 11,18.0,0.41,0.0,0.51,46.892,-0.084,-0.117,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 12,18.0,0.41,0.0,0.51,46.8903,-0.084,-0.117,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 13,18.0,0.41,0.0,0.51,46.892,-0.084,-0.117,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 14,18.0,0.41,0.0,0.51,46.9888,-0.084,-0.118,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 8,18.0,0.46,0.0,0.57,53.0667,-0.083,-0.168,0.003,-0.081,-0.04,-0.089,,,1
Building 1,Block 1,Dorm 2,18.0,0.46,0.0,0.57,53.055,-0.083,-0.168,0.003,-0.081,-0.04,-0.089,,,1
Building 1,Block 1,Dorm 3,18.0,0.41,0.0,0.51,46.9886,-0.084,-0.118,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 4,18.0,0.41,0.0,0.51,46.892,-0.084,-0.117,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 5,18.0,0.41,0.0,0.51,46.8903,-0.084,-0.117,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 6,18.0,0.41,0.0,0.51,46.892,-0.084,-0.117,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 7,18.0,0.41,0.0,0.51,46.9888,-0.084,-0.118,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 1,18.0,0.46,0.0,0.57,53.0667,-0.083,-0.168,0.003,-0.081,-0.04,-0.089,,,1
