1;"eplusout"

"Date/Time";"[1] Site Diffuse Solar Radiation Rate per Area (W/m2)";"[1] Site Direct Solar Radiation Rate per Area (W/m2)"
;"Environment";"Environment"
"1/01/2002 01:00";"0";"0"
"1/01/2002 02:00";"0";"0"
"1/01/2002 03:00";"0";"0"
"1/01/2002 04:00";"0";"0"
"1/01/2002 05:00";"0";"0"
"1/01/2002 06:00";"28.5";"24"
"1/01/2002 07:00";"123.25";"80.5"
"1/01/2002 08:00";"252.75";"48"
"1/01/2002 09:00";"342.75";"82.5"
"1/01/2002 10:00";"462.75";"46.5"
"1/01/2002 11:00";"590.5";"6.25"
"1/01/2002 12:00";"650";"7.5"
"1/01/2002 13:00";"632.25";"32.75"
"1/01/2002 14:00";"493.5";"102.75"
"1/01/2002 15:00";"390.75";"109"
"1/01/2002 16:00";"262.75";"123"
"1/01/2002 17:00";"164.5";"64.75"
"1/01/2002 18:00";"53";"25.5"
"1/01/2002 19:00";"0";"0"
"1/01/2002 20:00";"0";"0"
"1/01/2002 21:00";"0";"0"
"1/01/2002 22:00";"0";"0"
"1/01/2002 23:00";"0";"0"
"2/01/2002 00:00";"0";"0"
"2/01/2002 01:00";"0";"0"
"2/01/2002 02:00";"0";"0"
"2/01/2002 03:00";"0";"0"
"2/01/2002 04:00";"0";"0"
"2/01/2002 05:00";"0";"0"
"2/01/2002 06:00";"28.25";"23.75"
"2/01/2002 07:00";"119.25";"88.25"
"2/01/2002 08:00";"242.75";"77.75"
"2/01/2002 09:00";"344.75";"98.25"
"2/01/2002 10:00";"442.5";"86"
"2/01/2002 11:00";"467.5";"129"
"2/01/2002 12:00";"491.75";"134.25"
"2/01/2002 13:00";"489.5";"124"
"2/01/2002 14:00";"472.5";"72"
"2/01/2002 15:00";"376.75";"74.25"
"2/01/2002 16:00";"259.25";"87.25"
"2/01/2002 17:00";"158.5";"72.25"
"2/01/2002 18:00";"53";"39"
"2/01/2002 19:00";"0";"0"
"2/01/2002 20:00";"0";"0"
"2/01/2002 21:00";"0";"0"
"2/01/2002 22:00";"0";"0"
"2/01/2002 23:00";"0";"0"
"3/01/2002 00:00";"0";"0"
"3/01/2002 01:00";"0";"0"
"3/01/2002 02:00";"0";"0"
"3/01/2002 03:00";"0";"0"
"3/01/2002 04:00";"0";"0"
"3/01/2002 05:00";"0";"0"
"3/01/2002 06:00";"32.25";"31"
"3/01/2002 07:00";"132.25";"125"
"3/01/2002 08:00";"253.25";"143"
"3/01/2002 09:00";"353.75";"170.75"
"3/01/2002 10:00";"463.25";"134.25"
"3/01/2002 11:00";"469.5";"174"
"3/01/2002 12:00";"493.25";"152"
"3/01/2002 13:00";"489";"137.25"
"3/01/2002 14:00";"472.25";"139.25"
"3/01/2002 15:00";"379.25";"192"
"3/01/2002 16:00";"255";"235"
"3/01/2002 17:00";"157.5";"139.25"
"3/01/2002 18:00";"54.5";"44.25"
"3/01/2002 19:00";"0";"0"
"3/01/2002 20:00";"0";"0"
"3/01/2002 21:00";"0";"0"
"3/01/2002 22:00";"0";"0"
"3/01/2002 23:00";"0";"0"
"4/01/2002 00:00";"0";"0"
"4/01/2002 01:00";"0";"0"
"4/01/2002 02:00";"0";"0"
"4/01/2002 03:00";"0";"0"
"4/01/2002 04:00";"0";"0"
"4/01/2002 05:00";"0";"0"
"4/01/2002 06:00";"27.25";"24.25"
"4/01/2002 07:00";"121.25";"81.25"
"4/01/2002 08:00";"249.75";"49.5"
"4/01/2002 09:00";"338";"87.25"
"4/01/2002 10:00";"431.5";"71.25"
"4/01/2002 11:00";"458.75";"101.25"
"4/01/2002 12:00";"480.75";"99"
"4/01/2002 13:00";"467";"99.75"
"4/01/2002 14:00";"428.25";"91.75"
