"Date/Time";"Walls";"Ground Floors";"Partitions (int)";"Roofs";"Sensible Cooling";"Mech Vent + Nat Vent + Infiltration";"External Infiltration";"External Vent.";"Total Cooling";"Zone Heating";"Lighting";"Electricity";"Gas";"Heating (Gas)";"Cooling (Electricity)";"DHW (Electricity)";
;"kW";"kW";"kW";"kW";"kW";"ac/h";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"kW";
"1/01/2002 01:00:00";"-0.437293";"0.597484";"1.685215";"0.222962";"0";"2.107874";"-1.031132";"0";"0";"0";"0";"0.689664";"0";"0";"0";"0.689664";
"1/01/2002 02:00:00";"-0.47839";"0.847784";"1.638524";"0.186162";"0";"2.113252";"-1.039763";"0";"0";"0";"0";"0.689664";"0";"0";"0";"0.689664";
"1/01/2002 03:00:00";"-0.539379";"0.978961";"1.394079";"0.061947";"0";"2.10907";"-0.968856";"0";"0";"0";"0";"0.689664";"0";"0";"0";"0.689664";
"1/01/2002 04:00:00";"-0.558632";"1.097281";"1.215557";"-0.051566";"0";"2.10583";"-0.901327";"0";"0";"0";"0";"0.689664";"0";"0";"0";"0.689664";
"1/01/2002 05:00:00";"-0.559379";"1.187481";"1.05487";"-0.154474";"0";"2.103176";"-0.843734";"0";"0";"0";"0";"0.689664";"0";"0";"0";"0.689664";
"1/01/2002 06:00:00";"-0.58758";"1.136651";"0.760352";"-0.343634";"0";"2.101392";"-0.800779";"0";"0";"0";"0";"0.689664";"0";"0";"0";"0.689664";
"1/01/2002 07:00:00";"-0.621881";"0.845014";"0.119306";"-0.671176";"0";"2.100104";"-0.722605";"0";"0";"0";"0";"0.689664";"0";"0";"0";"0.689664";
"1/01/2002 08:00:00";"-0.696882";"0.219004";"-1.089056";"-1.074523";"0";"1.407825";"-0.734645";"0";"0";"0";"1.014776";"1.35961";"0";"0";"0";"0.344834";
"1/01/2002 09:00:00";"-0.659285";"-0.38896";"-1.861117";"-1.161812";"0";"1.179316";"-0.75548";"-0.123738";"0";"0";"1.014776";"1.187198";"0";"0";"0";"0.172422";
"1/01/2002 10:00:00";"-0.621246";"-1.033195";"-2.471275";"-1.136677";"0";"0.7200696";"-0.792488";"0";"0";"0";"1.014776";"1.014776";"0";"0";"0";"0";
"1/01/2002 11:00:00";"-0.521835";"-1.564046";"-2.696396";"-0.927415";"-0.095155";"0.7210659";"-0.762411";"0";"-0.095155";"0";"0";"0.052864";"0";"0";"0.052864";"0";
"1/01/2002 12:00:00";"-0.405565";"-1.988892";"-2.694809";"-0.596851";"-0.634113";"0.7207187";"-0.727217";"0";"-0.634113";"0";"0";"0.352286";"0";"0";"0.352286";"0";
"1/01/2002 13:00:00";"-0.238345";"-2.212";"-2.318717";"-0.099937";"-1.235471";"0.7200701";"-0.687994";"0";"-1.235471";"0";"0";"0.686374";"0";"0";"0.686374";"0";
"1/01/2002 14:00:00";"-0.094174";"-2.199931";"-1.646805";"0.490783";"-1.521244";"0.7206045";"-0.700461";"0";"-1.521244";"0";"0";"0.845136";"0";"0";"0.845136";"0";
"1/01/2002 15:00:00";"-0.04592";"-2.139155";"-1.080396";"0.839852";"-1.611838";"0.7245064";"-0.724992";"0";"-1.611838";"0";"0";"0.895465";"0";"0";"0.895465";"0";
"1/01/2002 16:00:00";"-0.022099";"-1.960099";"-0.488622";"1.05209";"-1.510453";"0.7250583";"-0.739099";"0";"-1.510453";"0";"0";"0.83914";"0";"0";"0.83914";"0";
"1/01/2002 17:00:00";"-0.031263";"-1.650477";"0.114584";"1.138611";"-1.253041";"0.7269394";"-0.799611";"0";"-1.253041";"0";"0";"0.696134";"0";"0";"0.696134";"0";
"1/01/2002 18:00:00";"-0.103982";"-1.215785";"0.773566";"1.126597";"-0.858014";"0.725807";"-0.867073";"0";"-0.858014";"0";"0";"0.476675";"0";"0";"0.476675";"0";
"1/01/2002 19:00:00";"-0.245649";"-0.840783";"1.170242";"0.899737";"-0.456698";"0.7274338";"-0.925774";"0";"-0.456698";"0";"0";"0.253721";"0";"0";"0.253721";"0";
"1/01/2002 20:00:00";"-0.406673";"-0.663265";"1.147226";"0.518091";"-0.21803";"0.7296213";"-0.944505";"0";"-0.21803";"0";"0.202959";"0.324087";"0";"0";"0.121128";"0";
"1/01/2002 21:00:00";"-0.479539";"-0.485111";"1.106409";"0.263902";"-0.051564";"0.7297731";"-0.952172";"0";"-0.051564";"0";"0.202959";"0.231607";"0";"0";"0.028648";"0";
"1/01/2002 22:00:00";"-0.522818";"-0.322044";"1.044515";"0.088118";"0";"0.7311718";"-0.953236";"0";"0";"0";"0.202959";"0.202959";"0";"0";"0";"0";
"1/01/2002 23:00:00";"-0.452772";"0.03609";"1.507617";"0.158812";"0";"1.94168";"-0.864542";"-1.055711";"0";"0";"0.202959";"0.375381";"0";"0";"0";"0.172422";
"1/01/2002";"-0.447089";"0.311571";"1.583745";"0.196833";"0";"2.509031";"-0.830343";"-0.859265";"0";"0";"0";"0.517256";"0";"0";"0";"0.517256";
"2/01/2002 01:00:00";"-0.415161";"0.646258";"1.724959";"0.234145";"0";"2.448653";"-0.826714";"-0.352309";"0";"0";"0";"0.689664";"0";"0";"0";"0.689664";
"2/01/2002 02:00:00";"-0.51554";"0.709134";"1.301289";"0.017794";"0";"2.109222";"-0.86528";"0";"0";"0";"0";"0.689664";"0";"0";"0";"0.689664";
"2/01/2002 03:00:00";"-0.519129";"0.921289";"1.310249";"-0.055971";"0";"2.108469";"-0.910416";"0";"0";"0";"0";"0.689664";"0";"0";"0";"0.689664";
"2/01/2002 04:00:00";"-0.538591";"1.108318";"1.305057";"-0.109008";"0";"2.107384";"-0.955676";"0";"0";"0";"0";"0.689664";"0";"0";"0";"0.689664";
"2/01/2002 05:00:00";"-0.565504";"1.264712";"1.250363";"-0.168241";"0";"2.104902";"-0.928097";"0";"0";"0";"0";"0.689664";"0";"0";"0";"0.689664";
"2/01/2002 06:00:00";"-0.618026";"1.230531";"0.92588";"-0.356649";"0";"2.103012";"-0.877301";"0";"0";"0";"0";"0.689664";"0";"0";"0";"0.689664";
"2/01/2002 07:00:00";"-0.690736";"1.052744";"0.465968";"-0.577611";"0";"2.102211";"-0.839583";"0";"0";"0";"0";"0.689664";"0";"0";"0";"0.689664";
"2/01/2002 08:00:00";"-0.94637";"0.553332";"-0.594544";"-1.103331";"0";"1.41102";"-0.882878";"0";"0";"0";"1.014776";"1.35961";"0";"0";"0";"0.344834";
"2/01/2002 09:00:00";"-0.913114";"-0.072969";"-1.558952";"-1.337656";"0";"1.069491";"-0.921217";"0";"0";"0";"1.014776";"1.187198";"0";"0";"0";"0.172422";
"2/01/2002 10:00:00";"-0.766877";"-0.697536";"-2.22502";"-1.22126";"0";"0.7266942";"-0.984264";"0";"0";"0";"1.014776";"1.014776";"0";"0";"0";"0";
"2/01/2002 11:00:00";"-0.572365";"-0.987102";"-2.104372";"-0.721767";"0";"0.7292182";"-0.996943";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"2/01/2002 12:00:00";"-0.529654";"-1.325736";"-2.087377";"-0.346734";"-0.016487";"0.7287434";"-1.018915";"0";"-0.016487";"0";"0";"0.009159";"0";"0";"0.009159";"0";
"2/01/2002 13:00:00";"-0.503777";"-1.607539";"-1.980151";"-0.039916";"-0.263436";"0.7294068";"-1.029036";"0";"-0.263436";"0";"0";"0.146353";"0";"0";"0.146353";"0";
"2/01/2002 14:00:00";"-0.423048";"-1.747146";"-1.661849";"0.236529";"-0.633211";"0.7308694";"-1.027147";"0";"-0.633211";"0";"0";"0.351785";"0";"0";"0.351785";"0";
"2/01/2002 15:00:00";"-0.315691";"-1.69335";"-1.094783";"0.53872";"-0.834973";"0.732181";"-1.016108";"0";"-0.834973";"0";"0";"0.463875";"0";"0";"0.463875";"0";
"2/01/2002 16:00:00";"-0.254793";"-1.530993";"-0.500005";"0.748999";"-0.845281";"0.7315385";"-0.994245";"0";"-0.845281";"0";"0";"0.4696";"0";"0";"0.4696";"0";
