"Date/Time";"Walls";"Ground Floors";"Partitions (int)";"Roofs";"Mech Vent + Nat Vent + Infiltration";"External Infiltration";"External Vent.";"Zone Heating";"General Lighting";"Solar Gains Exterior Windows";"Zone Sensible Heating";"Air Temperature";"Radiant Temperature";"Operative Temperature";"Lighting";"Heating (Electricity)";"DHW (Electricity)";"Outside Dry-Bulb Temperature";
;"kW";"kW";"kW";"kW";"ac/h";"kW";"kW";"kW";"kW";"kW";"kW";"°C";"°C";"°C";"kW";"kW";"kW";"°C";
"1/01/2002 01:00:00";"-0.450485";"0.257562";"0.515922";"-0.125329";"0.7284545";"-0.710116";"0";"0.74064";"0";"0";"0.7406423";"22";"21.99817";"21.99908";"0";"0.74064";"0.689664";"10.525";
"1/01/2002 02:00:00";"-0.535653";"0.305492";"0.444008";"-0.231227";"0.7300689";"-0.750232";"0";"0.99923";"0";"0";"0.9992286";"22";"21.75958";"21.87979";"0";"0.99923";"0.689664";"9.9";
"1/01/2002 03:00:00";"-0.590835";"0.343152";"0.367596";"-0.32488";"0.728699";"-0.719592";"0";"1.153336";"0";"0";"1.153336";"22";"21.56111";"21.78056";"0";"1.153336";"0.689664";"10.375";
"1/01/2002 04:00:00";"-0.613547";"0.365692";"0.27153";"-0.404286";"0.7272917";"-0.68745";"0";"1.289124";"0";"0";"1.289126";"22";"21.40509";"21.70254";"0";"1.289124";"0.689664";"10.875";
"1/01/2002 05:00:00";"-0.615933";"0.375281";"0.1797";"-0.466474";"0.7260743";"-0.660232";"0";"1.405712";"0";"0";"1.405711";"22";"21.28584";"21.64292";"0";"1.405712";"0.689664";"11.3";
"1/01/2002 06:00:00";"-0.622479";"0.336588";"0.049492";"-0.541818";"0.7251808";"-0.639476";"0";"1.475973";"0";"0.1305954";"1.475973";"22";"21.21746";"21.60873";"0";"1.475973";"0.689664";"11.625";
"1/01/2002 07:00:00";"-0.583286";"0.221019";"-0.175937";"-0.598876";"0.7223536";"-0.572698";"0";"1.348594";"0";"0.4769897";"1.348593";"22";"21.27418";"21.63709";"0";"1.348594";"0.689664";"12.675";
"1/01/2002 08:00:00";"-0.518185";"-0.002671";"-0.57488";"-0.583046";"0.7189469";"-0.518944";"0";"0.699213";"0.75775";"0.7987596";"0.699212";"22";"21.53146";"21.76573";"1.014776";"0.699213";"0.344834";"13.525";
"1/01/2002 09:00:00";"-0.362697";"-0.176962";"-0.758633";"-0.336308";"0.7187786";"-0.47963";"0";"0.289066";"0.75775";"1.071711";"0.2890676";"22";"21.89561";"21.94781";"1.014776";"0.289066";"0.172422";"14.15";
"1/01/2002 10:00:00";"-0.252514";"-0.362995";"-0.95512";"-0.113061";"0.7173089";"-0.442644";"0";"0.026052";"0.75775";"1.362592";"2.605287E-02";"22.08636";"22.34098";"22.21367";"1.014776";"0.026052";"0";"14.825";
"1/01/2002 11:00:00";"-0.076046";"-0.491696";"-0.970592";"0.228278";"0.7158418";"-0.393078";"0";"0.000906";"0";"1.677745";"9.082941E-04";"22.21961";"22.79247";"22.50604";"0";"0.000906";"0";"15.75";
"1/01/2002 12:00:00";"-0.004128";"-0.694046";"-1.124311";"0.45215";"0.7135684";"-0.361395";"0";"0";"0";"1.82882";"0";"22.7194";"23.26531";"22.99236";"0";"0";"0";"16.75";
"1/01/2002 13:00:00";"0.05748";"-0.858448";"-1.198745";"0.641792";"0.7125792";"-0.330627";"0";"0";"0";"1.766485";"0";"23.23067";"23.75638";"23.49353";"0";"0";"0";"17.75";
"1/01/2002 14:00:00";"0.107936";"-0.923694";"-1.070623";"0.840705";"0.7140262";"-0.340568";"0";"0";"0";"1.456599";"0";"23.65046";"24.144";"23.89723";"0";"0";"0";"18";
"1/01/2002 15:00:00";"0.10251";"-0.948348";"-0.891181";"0.93018";"0.7144461";"-0.356474";"0";"0";"0";"1.213828";"0";"23.91432";"24.42015";"24.16723";"0";"0";"0";"18";
"1/01/2002 16:00:00";"0.086442";"-0.902601";"-0.630706";"0.94708";"0.7146888";"-0.364988";"0";"0";"0";"0.9039307";"0";"24.05555";"24.55653";"24.30604";"0";"0";"0";"18";
