"Date/Time";"Walls";"Ground Floors";"Partitions (int)";"Roofs";"Sensible Cooling";"Mech Vent + Nat Vent + Infiltration";"External Infiltration";"External Vent.";"Total Cooling";"Zone Heating";"General Lighting";"Occupancy";"Solar Gains Exterior Windows";"Zone Sensible Heating";"Zone Sensible Cooling";"Air Temperature";"Radiant Temperature";"Operative Temperature";"Lighting";"Heating (Gas)";"Cooling (Electricity)";"DHW (Electricity)";"Outside Dry-Bulb Temperature";
;"kW";"kW";"kW";"kW";"kW";"ac/h";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"°C";"°C";"°C";"kW";"kW";"kW";"kW";"°C";
"1/01/2002 01:00:00";"1.05691";"1.483236";"3.067162";"-6.918474";"0";"0.717251";"-0.656301";"0";"0";"0.033729";"0";"1.546659";"0";"0.033729";"0";"18.42706";"18.46489";"18.44598";"0";"0.03968";"0";"0.691656";"10.525";
"1/01/2002 02:00:00";"0.999006";"1.369136";"2.632038";"-6.370394";"0";"0.7178869";"-0.669124";"0";"0";"0.771717";"0";"1.547157";"0";"0.771717";"0";"17.94104";"17.62724";"17.78414";"0";"0.907903";"0";"0.691656";"9.9";
"1/01/2002 03:00:00";"0.85221";"1.19446";"2.106781";"-6.254657";"0";"0.7159611";"-0.612542";"0";"0";"1.450889";"0";"1.547157";"0";"1.450889";"0";"17.74834";"16.97729";"17.36282";"0";"1.706929";"0";"0.691656";"10.375";
"1/01/2002 04:00:00";"0.728902";"1.101891";"1.698989";"-6.204193";"0";"0.7152684";"-0.55574";"0";"0";"1.96598";"0";"1.547157";"0";"1.96598";"0";"17.57629";"16.4294";"17.00285";"0";"2.312917";"0";"0.691656";"10.875";
"1/01/2002 05:00:00";"0.580613";"0.996207";"1.323161";"-6.128772";"0";"0.7148757";"-0.507976";"0";"0";"2.462719";"0";"1.547157";"0";"2.462719";"0";"17.43439";"16.00369";"16.71904";"0";"2.897318";"0";"0.691656";"11.3";
"1/01/2002 06:00:00";"0.347917";"0.637682";"0.600284";"-5.238461";"0";"0.7138411";"-0.474883";"0";"0";"2.479369";"0";"1.547157";"0.4323754";"2.479369";"0";"17.36615";"15.89558";"16.63087";"0";"2.916905";"0";"0.691656";"11.625";
"1/01/2002 07:00:00";"-0.226169";"-0.537068";"-1.610033";"-0.201606";"0";"0.708591";"-0.420381";"0";"0";"0.544927";"0";"1.547157";"1.579218";"0.544927";"0";"17.77571";"17.03503";"17.40537";"0";"0.641091";"0";"0.691656";"12.675";
"1/01/2002 08:00:00";"-1.202449";"-2.210081";"-4.966808";"5.517263";"0";"0.7109383";"-0.512636";"0";"0";"0";"1.017072";"1.541943";"2.644535";"0";"0";"19.76338";"19.51927";"19.64132";"1.017072";"0";"0";"0.345828";"13.525";
"1/01/2002 09:00:00";"-2.289443";"-3.591622";"-7.615782";"10.87284";"0";"0.7563532";"-0.702483";"-0.043563";"0";"0";"1.017072";"1.428179";"3.548223";"0";"0";"22.71649";"22.69541";"22.70595";"1.017072";"0";"0";"0.172912";"14.15";
