"Date/Time";"Walls";"Ground Floors";"Partitions (int)";"Roofs";"Sensible Cooling";"Mech Vent + Nat Vent + Infiltration";"External Infiltration";"Total Cooling";"Zone Heating";"General Lighting";"Occupancy";"Solar Gains Exterior Windows";"Zone Sensible Heating";"Zone Sensible Cooling";"Air Temperature";"Radiant Temperature";"Operative Temperature";"Lighting";"Heating (Gas)";"Cooling (Electricity)";"DHW (Electricity)";"Outside Dry-Bulb Temperature";
;"kW";"kW";"kW";"kW";"kW";"ac/h";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"°C";"°C";"°C";"kW";"kW";"kW";"kW";"°C";
"1/01/2002 01:00:00";"-0.472118";"0.326134";"0.914855";"-0.087839";"0";"1.059262";"-0.848751";"0";"0";"0";"0.3543931";"0";"0";"-0.3926102";"20.76683";"21.52509";"21.14596";"0";"0";"0";"0.689664";"10.525";
"1/01/2002 02:00:00";"-0.505776";"0.52189";"1.024069";"-0.081816";"0";"1.061224";"-0.872335";"0";"0";"0";"0.3619304";"0";"0";"-0.4027004";"20.406";"21.16907";"20.78753";"0";"0";"0";"0.689664";"9.9";
"1/01/2002 03:00:00";"-0.559554";"0.623573";"0.918786";"-0.144876";"0";"1.058914";"-0.809984";"0";"0";"0";"0.3652346";"0";"0";"-0.3745018";"20.14629";"20.85328";"20.49978";"0";"0";"0";"0.689664";"10.375";
"1/01/2002 04:00:00";"-0.57355";"0.715987";"0.831144";"-0.207463";"0";"1.056814";"-0.749054";"0";"0";"0";"0.368435";"0";"0";"-0.3469583";"19.92698";"20.5701";"20.24854";"0";"0";"0";"0.689664";"10.875";
"1/01/2002 05:00:00";"-0.567755";"0.789829";"0.743582";"-0.266546";"0";"1.055034";"-0.696677";"0";"0";"0";"0.3711389";"0";"0";"-0.3232376";"19.73132";"20.31937";"20.02534";"0";"0";"0";"0.689664";"11.3";
"1/01/2002 06:00:00";"-0.57382";"0.775852";"0.590968";"-0.362842";"0";"1.053743";"-0.656422";"0";"0";"0";"0.3733092";"0.2154724";"0";"-0.3049937";"19.57802";"20.1229";"19.85046";"0";"0";"0";"0.689664";"11.625";
"1/01/2002 07:00:00";"-0.537043";"0.62113";"0.244265";"-0.492062";"0";"1.051277";"-0.571623";"0";"0";"0";"0.374079";"0.7411561";"0";"-0.266638";"19.62551";"20.0846";"19.85506";"0";"0";"0";"0.689664";"12.675";
"1/01/2002 08:00:00";"-0.484775";"0.325806";"-0.461539";"-0.591214";"0";"0.8818772";"-0.542153";"0";"0";"1.014776";"0.1851311";"0.9868295";"0";"-0.1268761";"20.13686";"20.28133";"20.20909";"1.014776";"0";"0";"0.344834";"13.525";
"1/01/2002 09:00:00";"-0.354363";"-0.004509";"-0.915329";"-0.444306";"0";"0.7992918";"-0.522471";"0";"0";"1.014776";"9.105526E-02";"1.333744";"0";"-6.128145E-02";"20.53563";"20.68721";"20.61142";"1.014776";"0";"0";"0.172422";"14.15";
"1/01/2002 10:00:00";"-0.214748";"-0.271054";"-1.209505";"-0.171984";"0";"0.7133752";"-0.502384";"0";"0";"1.014776";"0";"1.497607";"0";"0";"20.97928";"21.17787";"21.07858";"1.014776";"0";"0";"0";"14.825";
"1/01/2002 11:00:00";"-0.002847";"-0.442729";"-1.153181";"0.297582";"0";"0.7131657";"-0.437709";"0";"0";"0";"0";"1.703201";"0";"0";"21.12978";"21.66323";"21.39651";"0";"0";"0";"0";"15.75";
"1/01/2002 12:00:00";"0.099435";"-0.699807";"-1.273246";"0.637718";"0";"0.7097325";"-0.398586";"0";"0";"0";"0";"1.792784";"0";"0";"21.66648";"22.14285";"21.90466";"0";"0";"0";"0";"16.75";
"1/01/2002 13:00:00";"0.159914";"-0.964969";"-1.390159";"0.863229";"0";"0.7088203";"-0.361258";"0";"0";"0";"0";"1.797155";"0";"0";"22.22198";"22.66066";"22.44132";"0";"0";"0";"0";"17.75";
"1/01/2002 14:00:00";"0.204661";"-1.155799";"-1.300724";"1.057785";"0";"0.7116193";"-0.378597";"0";"0";"0";"0";"1.645181";"0";"0";"22.69075";"23.12001";"22.90538";"0";"0";"0";"0";"18";
"1/01/2002 15:00:00";"0.203476";"-1.2736";"-1.105188";"1.13547";"0";"0.7123072";"-0.407189";"0";"0";"0";"0";"1.519086";"0";"0";"23.04491";"23.48566";"23.26529";"0";"0";"0";"0";"18";
"1/01/2002 16:00:00";"0.182501";"-1.300141";"-0.818816";"1.110789";"0";"0.7128128";"-0.42667";"0";"0";"0";"0";"1.298071";"0";"0";"23.28621";"23.73411";"23.51016";"0";"0";"0";"0";"18";
"1/01/2002 17:00:00";"0.146801";"-1.132521";"-0.387189";"1.049006";"0";"0.7146466";"-0.49032";"0";"0";"0";"0";"0.809359";"0";"0";"23.30865";"23.79934";"23.554";"0";"0";"0";"0";"17.25";
