"Date/Time";"Walls";"Ground Floors";"Partitions (int)";"Roofs";"Mech Vent + Nat Vent + Infiltration";"External Infiltration";"External Vent.";"Zone Heating";"General Lighting";"Occupancy";"Zone Sensible Heating";"Zone Sensible Cooling";"Air Temperature";"Radiant Temperature";"Operative Temperature";"Lighting";"Heating (Gas)";"DHW (Electricity)";"Outside Dry-Bulb Temperature";
;"kW";"kW";"kW";"kW";"ac/h";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"°C";"°C";"°C";"kW";"kW";"kW";"°C";
"1/01/2002 01:00:00";"-0.781658";"0.169627";"1.145322";"-0.03951";"2.094381";"-0.87413";"0";"0";"0";"1.444162";"0";"-1.656369";"20.97438";"22.03716";"21.50577";"0";"0";"0.697974";"10.525";
"1/01/2002 02:00:00";"-0.84204";"0.425228";"1.275066";"0.018896";"2.098889";"-0.892517";"0";"0";"0";"1.485745";"0";"-1.686962";"20.54826";"21.59324";"21.07075";"0";"0";"0.697974";"9.9";
"1/01/2002 03:00:00";"-0.897781";"0.545698";"1.099957";"-0.0547";"2.095672";"-0.82922";"0";"0";"0";"1.501206";"0";"-1.569562";"20.28451";"21.21783";"20.75117";"0";"0";"0.697974";"10.375";
"1/01/2002 04:00:00";"-0.904002";"0.646776";"0.954699";"-0.139102";"2.093121";"-0.768331";"0";"0";"0";"1.514721";"0";"-1.457088";"20.07287";"20.89377";"20.48332";"0";"0";"0.697974";"10.875";
"1/01/2002 05:00:00";"-0.886843";"0.721224";"0.81849";"-0.223229";"2.09107";"-0.717045";"0";"0";"0";"1.525257";"0";"-1.362153";"19.89643";"20.61792";"20.25718";"0";"0";"0.697974";"11.3";
"1/01/2002 06:00:00";"-0.855258";"0.777155";"0.699554";"-0.295982";"2.089549";"-0.676433";"0";"0";"0";"1.534019";"0";"-1.286854";"19.74357";"20.3848";"20.06419";"0";"0";"0.697974";"11.625";
"1/01/2002 07:00:00";"-0.686125";"0.765496";"0.488548";"-0.330121";"2.087471";"-0.588487";"0";"0";"0";"1.538566";"0";"-1.123958";"19.76344";"20.25216";"20.0078";"0";"0";"0.697974";"12.675";
"1/01/2002 08:00:00";"-0.572018";"0.422463";"-0.292356";"-0.469119";"1.401277";"-0.588912";"0";"0";"1.02441";"1.50974";"0";"-0.5643378";"20.63964";"20.39477";"20.51721";"1.02441";"0";"0.34898";"13.525";
"1/01/2002 09:00:00";"-0.337845";"0.136792";"-0.788389";"-0.325002";"1.057744";"-0.582288";"0";"0";"1.02441";"1.468332";"0";"-0.2797049";"21.19985";"20.75749";"20.97867";"1.02441";"0";"0.17449";"14.15";
"1/01/2002 10:00:00";"-0.133396";"-0.143641";"-1.145148";"-0.066585";"0.7145181";"-0.580137";"0";"0";"1.02441";"1.430528";"0";"0";"21.86496";"21.21883";"21.5419";"1.02441";"0";"0";"14.825";
"1/01/2002 11:00:00";"0.166696";"-0.298201";"-1.066226";"0.403276";"0.7161165";"-0.519384";"0";"0";"0";"1.40424";"0";"0";"22.0735";"21.67828";"21.87589";"0";"0";"0";"15.75";
"1/01/2002 12:00:00";"0.330465";"-0.532303";"-1.164435";"0.707143";"0.7137075";"-0.472418";"0";"0";"0";"1.383593";"0";"0";"22.52228";"22.1328";"22.32754";"0";"0";"0";"16.75";
"1/01/2002 13:00:00";"0.422826";"-0.761008";"-1.2566";"0.942693";"0.7140827";"-0.429532";"0";"0";"0";"1.352903";"0";"0";"23.01698";"22.60534";"22.81116";"0";"0";"0";"17.75";
