"Date/Time";"Walls";"Ground Floors";"Partitions (int)";"Roofs";"Sensible Cooling";"Mech Vent + Nat Vent + Infiltration";"External Infiltration";"External Vent.";"Total Cooling";"Zone Heating";"General Lighting";"Occupancy";"Zone Sensible Heating";"Zone Sensible Cooling";"Air Temperature";"Radiant Temperature";"Operative Temperature";"Lighting";"Heating (Gas)";"Cooling (Electricity)";"DHW (Electricity)";"Outside Dry-Bulb Temperature";
;"kW";"kW";"kW";"kW";"kW";"ac/h";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"°C";"°C";"°C";"kW";"kW";"kW";"kW";"°C";
"1/01/2001 01:00:00";"1.432291";"0.445025";"2.364576";"-6.301895";"0";"2.06857";"-0.584548";"0";"0";"1.955599";"0";"1.547157";"1.078077";"-0.2285367";"17.56248";"17.08991";"17.32619";"0";"2.300703";"0";"0.691656";"10.525";
"1/01/2001 02:00:00";"1.191371";"0.69563";"1.76767";"-6.024018";"0";"2.072628";"-0.622948";"0";"0";"2.522481";"0";"1.547157";"1.571254";"-0.2255398";"17.3863";"16.60341";"16.99486";"0";"2.967624";"0";"0.691656";"9.9";
"1/01/2001 03:00:00";"0.974639";"0.883194";"1.283389";"-5.993866";"0";"2.073849";"-0.573871";"0";"0";"2.870818";"0";"1.547157";"1.974552";"-0.1903633";"17.28296";"16.21962";"16.75129";"0";"3.377434";"0";"0.691656";"10.375";
"1/01/2001 04:00:00";"0.755013";"1.032393";"0.951842";"-6.048335";"0";"2.072346";"-0.524889";"0";"0";"3.217485";"0";"1.547157";"2.379545";"-0.1581659";"17.20438";"15.91385";"16.55911";"0";"3.785276";"0";"0.691656";"10.875";
"1/01/2001 05:00:00";"0.541022";"1.139554";"0.697142";"-6.041322";"0";"2.071251";"-0.484778";"0";"0";"3.472557";"0";"1.547157";"2.684086";"-0.1334375";"17.15432";"15.69195";"16.42314";"0";"4.085361";"0";"0.691656";"11.3";
"1/01/2001 06:00:00";"0.265422";"1.128122";"0.211323";"-5.122401";"0";"2.070913";"-0.457979";"0";"0";"3.353791";"0";"1.547157";"2.603272";"-0.1217394";"17.16185";"15.71486";"16.43835";"0";"3.945637";"0";"0.691656";"11.625";
"1/01/2001 07:00:00";"-0.375372";"0.558854";"-1.627363";"0.106225";"0";"2.060949";"-0.399349";"0";"0";"1.280987";"0";"1.547157";"0.6680712";"-0.1504834";"17.52057";"16.8471";"17.18383";"0";"1.507044";"0";"0.691656";"12.675";
"1/01/2001 08:00:00";"-1.414781";"-0.705081";"-4.400079";"6.209202";"0";"1.389319";"-0.461261";"0";"0";"0";"1.017072";"1.547157";"0";"-0.4420376";"19.13837";"19.1371";"19.13774";"1.017072";"0";"0";"0.345828";"13.525";
"1/01/2001 09:00:00";"-2.586006";"-2.219074";"-6.615282";"11.94766";"0";"1.057448";"-0.632244";"0";"0";"0";"1.017072";"1.473152";"0";"-0.3036916";"21.86009";"21.88727";"21.87368";"1.017072";"0";"0";"0.172912";"14.15";
