"Date/Time";"Walls";"Ground Floors";"Partitions (int)";"Roofs";"Mech Vent + Nat Vent + Infiltration";"External Infiltration";"Zone Heating";"General Lighting";"Occupancy";"Solar Gains Exterior Windows";"Zone Sensible Heating";"Zone Sensible Cooling";"Air Temperature";"Radiant Temperature";"Operative Temperature";"Lighting";"Heating (Gas)";"DHW (Electricity)";"Outside Dry-Bulb Temperature";
;"kW";"kW";"kW";"kW";"ac/h";"kW";"kW";"kW";"kW";"kW";"kW";"kW";"°C";"°C";"°C";"kW";"kW";"kW";"°C";
"1/01/2002 01:00:00";"0.015891";"-1.038593";"1.105646";"0.067493";"2.08068";"-0.715293";"0";"0";"1.53262";"0";"0";"-1.354746";"19.13736";"19.89978";"19.51857";"0";"0";"0.691656";"10.525";
"1/01/2002 02:00:00";"0.032958";"-0.793131";"1.243247";"0.108243";"2.08517";"-0.731573";"0";"0";"1.547157";"0";"0";"-1.382388";"18.69138";"19.48649";"19.08894";"0";"0";"0.691656";"9.9";
"1/01/2002 03:00:00";"-0.038149";"-0.615088";"1.034355";"0.013359";"2.082261";"-0.67138";"0";"0";"1.547157";"0";"0";"-1.270584";"18.45648";"19.14565";"18.80106";"0";"0";"0.691656";"10.375";
"1/01/2002 04:00:00";"-0.111753";"-0.455122";"0.897073";"-0.069287";"2.079901";"-0.61251";"0";"0";"1.547157";"0";"0";"-1.161433";"18.26072";"18.84387";"18.5523";"0";"0";"0.691656";"10.875";
"1/01/2002 05:00:00";"-0.188911";"-0.317244";"0.775758";"-0.143991";"2.078042";"-0.563195";"0.013574";"0";"1.547157";"0";"0";"-1.056235";"18.10107";"18.57972";"18.34039";"0";"0.01597";"0.691656";"11.3";
"1/01/2002 06:00:00";"-0.27848";"-0.224884";"0.609553";"-0.245068";"2.077024";"-0.528226";"0.073896";"0";"1.547157";"0.1306664";"0";"-0.9309928";"18.01092";"18.37063";"18.19077";"0";"0.086938";"0.691656";"11.625";
"1/01/2002 07:00:00";"-0.386377";"-0.217522";"0.312521";"-0.338297";"2.075274";"-0.44465";"0.015845";"0";"1.547157";"0.4772491";"0";"-0.8333975";"18.0699";"18.2798";"18.17485";"0";"0.018642";"0.691656";"12.675";
"1/01/2002 08:00:00";"-0.640121";"-0.417556";"-0.515846";"-0.531316";"1.393233";"-0.448313";"0";"1.017072";"1.547157";"0.7991939";"0";"-0.4296054";"18.98055";"18.45926";"18.7199";"1.017072";"0";"0.345828";"13.525";
"1/01/2002 09:00:00";"-0.819579";"-0.649885";"-0.902132";"-0.320566";"1.055227";"-0.437073";"0";"1.017072";"1.546179";"1.072294";"0";"-0.2099105";"19.4803";"18.81388";"19.14709";"1.017072";"0";"0.172912";"14.15";
