"Building";"Block";"Zone";"Comfort Temperature (°C)";"Steady-State Heat Loss (kW)";"Intermittent Heat Loss (kW)";"Design Capacity (kW)";"Design Capacity (W/m2)";"Glazing Gains (kW)";"Wall Gains (kW)";"Floor Gains (kW)";"Roof and Ceiling Gains (kW)";"Ventilation Gains (kW)";"Infiltration Gains (kW)";
"Building 1";"Block 1";"Dorm 9";"18.00";"1.31";"0.00";"1.64";"151.7309";"-0.028";"-0.386";"0.071";"-0.825";"-0.044";"-0.100";"";
"Building 1";"Block 1";"Dorm 10";"18.00";"1.20";"0.00";"1.50";"138.1927";"-0.028";"-0.272";"0.067";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 11";"18.00";"1.20";"0.00";"1.50";"138.0872";"-0.028";"-0.271";"0.067";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 12";"18.00";"1.20";"0.00";"1.50";"138.0863";"-0.028";"-0.271";"0.067";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 13";"18.00";"1.20";"0.00";"1.50";"138.0872";"-0.028";"-0.271";"0.067";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 14";"18.00";"1.20";"0.00";"1.50";"138.1928";"-0.028";"-0.272";"0.067";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 8";"18.00";"1.31";"0.00";"1.64";"151.7466";"-0.028";"-0.386";"0.071";"-0.825";"-0.044";"-0.100";"";
"Building 1";"Block 1";"Dorm 2";"18.00";"1.31";"0.00";"1.64";"151.7309";"-0.028";"-0.386";"0.071";"-0.825";"-0.044";"-0.100";"";
"Building 1";"Block 1";"Dorm 3";"18.00";"1.20";"0.00";"1.50";"138.1927";"-0.028";"-0.272";"0.067";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 4";"18.00";"1.20";"0.00";"1.50";"138.0872";"-0.028";"-0.271";"0.067";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 5";"18.00";"1.20";"0.00";"1.50";"138.0863";"-0.028";"-0.271";"0.067";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 6";"18.00";"1.20";"0.00";"1.50";"138.0872";"-0.028";"-0.271";"0.067";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 7";"18.00";"1.20";"0.00";"1.50";"138.1928";"-0.028";"-0.272";"0.067";"-0.826";"-0.044";"-0.099";"";
"Building 1";"Block 1";"Dorm 1";"18.00";"1.31";"0.00";"1.64";"151.7466";"-0.028";"-0.386";"0.071";"-0.825";"-0.044";"-0.100";"";
"Building 1";"Block 1";"Corredor";"8.51";"0.00";"0.00";"0.00";"0.0000";"0.000";"1.648";"1.307";"-2.620";"-0.083";"-0.175";"";

