1;"eplusout"

"Date/Time";"[1] Water Use Equipment Heating Rate (W)";"[1] Water Use Equipment Heating Rate (W)";"[1] Water Heater Electricity Rate (W)";"[1] System Node Temperature (C)";"[1] Site Outdoor Air Dewpoint Temperature (C)";"[1] Site Diffuse Solar Radiation Rate per Area (W/m2)";"[1] Site Direct Solar Radiation Rate per Area (W/m2)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)"
;"4299 WATER OUTLET";"4292 WATER OUTLET";"AUX HW LOOP WATER HEATER";"AUX HW LOOP SUPPLY SIDE INLET";"Environment";"Environment";"Environment";"AUX HW LOOP WATER HEATER DHW INLET NODE";"AUX HW LOOP SUPPLY SIDE OUTLET"
"1/01/2002 01:00";"0";"0";"0";"16.7364725341171";"4.825";"0";"0";"16.7364725341171";"55"
"1/01/2002 02:00";"0";"0";"0";"16.7364725341171";"4.8";"0";"0";"16.7364725341171";"55"
"1/01/2002 03:00";"0";"0";"0";"16.7364725341171";"4.95";"0";"0";"16.7364725341171";"55"
"1/01/2002 04:00";"0";"0";"0";"16.7364725341171";"5.225";"0";"0";"16.7364725341171";"55"
"1/01/2002 05:00";"0";"0";"0";"16.7364725341171";"5.6";"0";"0";"16.7364725341171";"55"
"1/01/2002 06:00";"0";"0";"0";"16.7364725341171";"5.85";"28.5";"24";"16.7364725341171";"55"
"1/01/2002 07:00";"0";"0";"0";"16.7364725341171";"6.425";"123.25";"80.5";"16.7364725341171";"55"
"1/01/2002 08:00";"7488.93707257663";"991.909336360219";"0";"16.7364658321837";"6.75";"252.75";"48";"54.9854242035656";"54.9915444165299"
"1/01/2002 09:00";"7487.5141578333";"991.720871374457";"0";"16.7364657185916";"6.95";"342.75";"82.5";"54.9581528425487";"54.9762562405056"
"1/01/2002 10:00";"7461.95893298127";"988.336083135772";"0";"16.7364657185916";"7.15";"462.75";"46.5";"54.3859652239748";"54.8377428976018"
"1/01/2002 11:00";"0";"0";"0";"16.7364657185916";"6.675";"590.5";"6.25";"16.7364657185916";"54.1953378321994"
"1/01/2002 12:00";"0";"0";"0";"16.7364657185916";"6.05";"650";"7.5";"16.7364657185916";"54.1953378321994"
"1/01/2002 13:00";"0";"0";"0";"16.7364657185916";"5.375";"632.25";"32.75";"16.7364657185916";"54.1953378321994"
"1/01/2002 14:00";"0";"0";"0";"16.7364657185916";"5.2";"493.5";"102.75";"16.7364657185916";"54.1953378321994"
"1/01/2002 15:00";"0";"0";"0";"16.7364657185916";"5.2";"390.75";"109";"16.7364657185916";"54.1953378321994"
"1/01/2002 16:00";"0";"0";"0";"16.7364657185916";"5.2";"262.75";"123";"16.7364657185916";"54.1953378321994"
"1/01/2002 17:00";"0";"0";"0";"16.7364657185916";"5.275";"164.5";"64.75";"16.7364657185916";"54.1953378321994"
"1/01/2002 18:00";"0";"0";"0";"16.7364657185916";"5.3";"53";"25.5";"16.7364657185916";"54.1953378321994"
"1/01/2002 19:00";"0";"0";"0";"16.7364657185916";"5.375";"0";"0";"16.7364657185916";"54.1953378321994"
"1/01/2002 20:00";"1471.6260732869";"194.916798949971";"0";"16.7364719662176";"5.325";"0";"0";"54.9766479153922";"54.3123746607908"
"1/01/2002 21:00";"1478.768067289";"195.8627556942";"0";"16.7364725341136";"5.225";"0";"0";"54.9859501340865";"54.5063638957789"
"1/01/2002 22:00";"1483.76886934647";"196.525111673697";"0";"16.7364725341171";"5.125";"0";"0";"54.910865524893";"54.633074077464"
"1/01/2002 23:00";"1486.58290543652";"196.897830611448";"0";"16.7364725341171";"5.025";"0";"0";"54.8663940365491";"54.7056251047808"
"2/01/2002 00:00";"0";"0";"0";"16.7364725341171";"4.925";"0";"0";"16.7364725341171";"54.7303258696876"
"2/01/2002 01:00";"0";"0";"0";"16.7364725341171";"4.825";"0";"0";"16.7364725341171";"54.7303258696876"
"2/01/2002 02:00";"0";"0";"0";"16.7364725341171";"4.875";"0";"0";"16.7364725341171";"54.7303258696876"
"2/01/2002 03:00";"0";"0";"0";"16.7364725341171";"4.9";"0";"0";"16.7364725341171";"54.7303258696876"
