1;"eplusout"

"Date/Time";"[1] System Node Standard Density Volume Flow Rate (m3/s)";"[1] System Node Standard Density Volume Flow Rate (m3/s)";"[1] System Node Standard Density Volume Flow Rate (m3/s)";"[1] System Node Standard Density Volume Flow Rate (m3/s)";"[1] System Node Standard Density Volume Flow Rate (m3/s)"
;"SOLAR LOOP WATER HEATER DHW INLET NODE";"TEMPERING VALVE WATER OUTLET NODE";"AUX HW LOOP SUPPLY PUMP WATER OUTLET NODE";"3686 HEATED FLOOR HOT WATER INLET NODE";"SOLAR LOOP SUPPLY PUMP WATER OUTLET NODE"
"1/01/2002 01:00";"3.56401406523437E-05";"6.37121881864219E-05";"9.93523288387656E-05";"8.57327754779629E-06";"0"
"1/01/2002 02:00";"5.63422178695234E-05";"7.84917063395228E-05";"0.000134833924209046";"1.15057120577174E-05";"0"
"1/01/2002 03:00";"0.000106965709005372";"4.05997869385307E-05";"0.000147565495943903";"1.22433087990502E-05";"0"
"1/01/2002 04:00";"0.000154144611673187";"1.40871385938781E-06";"0.000155553325532575";"1.22433087990502E-05";"0"
"1/01/2002 05:00";"0.000157164514455556";"2.39139888895863E-08";"0.000157188428444445";"1.22433087990502E-05";"0"
"1/01/2002 06:00";"0.000157188335030426";"9.34140191217412E-11";"0.000157188428444445";"1.22433087990502E-05";"0"
"1/01/2002 07:00";"0.000157188427757577";"3.43433881277416E-13";"0.000157188428444445";"1.22433087990502E-05";"0"
"1/01/2002 08:00";"0.000134588838677765";"1.71702806488445E-08";"0.000134606009130131";"1.09788104844602E-05";"0"
"1/01/2002 09:00";"0.000107388433566898";"0";"0.000107388433566898";"8.84709783104952E-06";"5E-05"
"1/01/2002 10:00";"5.60826224020582E-05";"2.09021092648164E-08";"5.6103524511323E-05";"4.36065840593491E-06";"5E-05"
"1/01/2002 11:00";"3.13870041183004E-05";"1.52919896955244E-07";"3.15399240152556E-05";"2.28022527369192E-06";"5E-05"
"1/01/2002 12:00";"5.21186802531082E-06";"0";"5.21186802531082E-06";"2.38667249557423E-07";"5E-05"
"1/01/2002 13:00";"0";"0";"0";"0";"5E-05"
"1/01/2002 14:00";"0";"0";"0";"0";"5E-05"
"1/01/2002 15:00";"0";"0";"0";"0";"5E-05"
"1/01/2002 16:00";"0";"0";"0";"0";"5E-05"
"1/01/2002 17:00";"0";"0";"0";"0";"0"
"1/01/2002 18:00";"0";"0";"0";"0";"0"
"1/01/2002 19:00";"1.74540199213009E-07";"8.05031624752979E-09";"1.82590515460539E-07";"0";"0"
"1/01/2002 20:00";"8.95816241975647E-07";"5.23683990384473E-08";"9.48184641014094E-07";"1.43569806743552E-08";"0"
"1/01/2002 21:00";"0";"0";"0";"0";"0"
"1/01/2002 22:00";"0";"0";"0";"0";"0"
"1/01/2002 23:00";"8.4022055652976E-07";"5.60147037686507E-08";"8.9623526029841E-07";"2.07813417954555E-07";"0"
"2/01/2002 00:00";"1.72743525806607E-05";"7.87037631641403E-07";"1.80613902123021E-05";"2.09895707034601E-06";"0"
"2/01/2002 01:00";"4.54182600236866E-05";"8.71644218898205E-07";"4.62899042425848E-05";"4.46029538740546E-06";"0"
"2/01/2002 02:00";"7.00254010531056E-05";"8.42690093015498E-07";"7.08680911461211E-05";"6.5011520504895E-06";"0"
"2/01/2002 03:00";"9.72401285268395E-05";"9.09637072343717E-07";"9.81497655991832E-05";"8.74162436088436E-06";"0"
"2/01/2002 04:00";"0.000124245816597493";"8.99601423730038E-07";"0.000125145418021223";"1.09546166148187E-05";"0"
"2/01/2002 05:00";"0.000146782699369538";"6.48977946436746E-07";"0.000147431677315975";"1.22433087990502E-05";"0"
"2/01/2002 06:00";"0.000156810820441299";"2.22530375948661E-07";"0.000157033350817248";"1.22433087990502E-05";"0"
"2/01/2002 07:00";"0.000157186953413183";"1.47503126228239E-09";"0.000157188428444445";"1.22433087990502E-05";"0"
"2/01/2002 08:00";"0.000157048720296026";"5.42290904822256E-12";"0.000157048725718935";"1.22433087990502E-05";"0"
"2/01/2002 09:00";"0.00014480923511004";"0";"0.00014480923511004";"1.22316638417122E-05";"5E-05"
"2/01/2002 10:00";"0.000121424059496588";"0";"0.000121424059496588";"1.02652090312414E-05";"5E-05"
"2/01/2002 11:00";"9.69892566407499E-05";"1.61966643766321E-07";"9.71512232845162E-05";"8.04693022666778E-06";"5E-05"
"2/01/2002 12:00";"8.0187544409185E-05";"0";"8.0187544409185E-05";"6.35482597997331E-06";"5E-05"
"2/01/2002 13:00";"4.69058801589174E-05";"0";"4.69058801589174E-05";"3.43988117361838E-06";"5E-05"
"2/01/2002 14:00";"1.70541329185837E-05";"0";"1.70541329185837E-05";"8.07672884427073E-07";"5E-05"
"2/01/2002 15:00";"1.47281694645915E-06";"0";"1.47281694645915E-06";"0";"5E-05"
"2/01/2002 16:00";"0";"0";"0";"0";"5E-05"
"2/01/2002 17:00";"0";"0";"0";"0";"0"
"2/01/2002 18:00";"0";"0";"0";"0";"0"
"2/01/2002 19:00";"2.66612242331339E-06";"1.69381531764378E-07";"2.83550395507777E-06";"0";"0"
"2/01/2002 20:00";"1.99398568688328E-05";"6.63782215964735E-07";"2.06036390847975E-05";"1.20511813711806E-06";"0"
"2/01/2002 21:00";"4.38796797082666E-05";"8.52911487153611E-07";"4.47325911954202E-05";"3.54189289899546E-06";"0"
"2/01/2002 22:00";"6.999039198266E-05";"8.59614705091768E-07";"7.08500066877518E-05";"5.94491325377262E-06";"0"
"2/01/2002 23:00";"9.50708357801892E-05";"8.27114623661328E-07";"9.58979504038505E-05";"8.1816205947212E-06";"0"
"3/01/2002 00:00";"0.00012099686766399";"9.26322360887448E-07";"0.000121923190024877";"1.04338676981762E-05";"0"
"3/01/2002 01:00";"0.000145239223014835";"6.73272817294085E-07";"0.000145912495832129";"1.22433087990502E-05";"0"
"3/01/2002 02:00";"0.000156377351954277";"2.64033847545842E-07";"0.000156641385801823";"1.22433087990502E-05";"0"
"3/01/2002 03:00";"0.000157185260176905";"3.16826753972558E-09";"0.000157188428444445";"1.22433087990502E-05";"0"
"3/01/2002 04:00";"0.0001571884160684";"1.23760450829083E-11";"0.000157188428444445";"1.22433087990502E-05";"0"
"3/01/2002 05:00";"0.000157188427716443";"0";"0.000157188428444445";"1.22433087990502E-05";"0"
"3/01/2002 06:00";"0.000157188427716443";"0";"0.000157188428444445";"1.22433087990502E-05";"0"
"3/01/2002 07:00";"0.000157188427716443";"0";"0.000157188428444445";"1.22433087990502E-05";"0"
"3/01/2002 08:00";"0.000157188427716443";"0";"0.000157188428444445";"1.22433087990502E-05";"0"
"3/01/2002 09:00";"0.000152781802914597";"3.36470071215266E-08";"0.00015281545028572";"1.22414361623586E-05";"5E-05"
"3/01/2002 10:00";"0.000106342008645499";"1.38318169335084E-07";"0.000106480326814834";"8.53199308316016E-06";"5E-05"
"3/01/2002 11:00";"8.58805805485894E-05";"1.89127218977096E-07";"8.60697077675665E-05";"6.63158771215346E-06";"5E-05"
"3/01/2002 12:00";"5.12708858756481E-05";"2.60983594390856E-08";"5.12969842350872E-05";"3.46269737986989E-06";"5E-05"
"3/01/2002 13:00";"2.38758366795906E-05";"0";"2.38758366795906E-05";"1.06915059557819E-06";"5E-05"
"3/01/2002 14:00";"1.88229753375175E-05";"7.42208791659825E-08";"1.88971962166835E-05";"8.08398721950011E-07";"5E-05"
"3/01/2002 15:00";"1.42238100628951E-05";"0";"1.42238100628951E-05";"6.40486363924029E-07";"5E-05"
"3/01/2002 16:00";"6.20084863308728E-06";"0";"6.20084863308728E-06";"0";"5E-05"
"3/01/2002 17:00";"1.15175575142315E-07";"0";"1.15175575142315E-07";"0";"0"
"3/01/2002 18:00";"1.70468018305259E-06";"1.01039941269534E-07";"1.80572012432212E-06";"0";"0"
"3/01/2002 19:00";"1.17711678975227E-05";"4.22549584895741E-07";"1.21937174824184E-05";"9.95025585882693E-09";"0"
"3/01/2002 20:00";"3.52550352151029E-05";"8.13058077384353E-07";"3.60680932924872E-05";"2.03548688851888E-06";"0"
