Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1174655,-,-,-,-11.59,-76.14,-5,4120,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2001,1,1,0,30,0,0,3,0.138,1.3,94.64,5,640
2001,1,1,1,30,0,0,2,0.138,1.1,100,5,640
2001,1,1,2,30,0,0,2,0.138,0.9,99.93,5,640
2001,1,1,3,30,0,0,2,0.138,0.9,98.75,5,640
2001,1,1,4,30,0,0,2,0.138,1.1,97.07000000000001,5,640
2001,1,1,5,30,0,0,2,0.138,1.3,95.07000000000001,5,640
2001,1,1,6,30,15,0,2,0.138,1.3,81.23,7,650
2001,1,1,7,30,119,3,1,0.138,1.1,59.59,10,650
2001,1,1,8,30,187,15,0,0.138,0.8,45.35,13,650
2001,1,1,9,30,344,32,0,0.138,0.6000000000000001,38.160000000000004,15,650
2001,1,1,10,30,428,36,0,0.138,0.5,35.9,16,640
2001,1,1,11,30,584,126,0,0.138,0.30000000000000004,36.95,17,640
2001,1,1,12,30,597,158,1,0.138,0.30000000000000004,41.83,16,640
2001,1,1,13,30,471,44,2,0.138,0.30000000000000004,51.4,14,640
2001,1,1,14,30,444,78,3,0.138,0.4,57.86,13,640
2001,1,1,15,30,357,216,3,0.138,0.5,63.940000000000005,12,640
2001,1,1,16,30,129,5,3,0.138,0.7000000000000001,74.42,10,640
2001,1,1,17,30,82,447,3,0.138,0.8,80.37,9,640
2001,1,1,18,30,0,0,3,0.138,1,86.68,8,640
2001,1,1,19,30,0,0,4,0.138,1.2000000000000002,87.16,7,640
2001,1,1,20,30,0,0,4,0.138,1.2000000000000002,93.8,7,640
2001,1,1,21,30,0,0,4,0.138,1.4000000000000001,94.11,7,650
2001,1,1,22,30,0,0,4,0.138,1.6,94.25,7,640
2001,1,1,23,30,0,0,4,0.138,1.7000000000000002,100,6,640
2001,1,2,0,30,0,0,3,0.138,1.9000000000000001,99.52,6,640
2001,1,2,1,30,0,0,3,0.138,1.9000000000000001,98.10000000000001,6,640
2001,1,2,2,30,0,0,3,0.138,1.8,96.78,6,640
2001,1,2,3,30,0,0,3,0.138,1.7000000000000002,95.59,6,640
2001,1,2,4,30,0,0,2,0.138,1.7000000000000002,100,5,640
2001,1,2,5,30,0,0,2,0.138,2,100,5,640
2001,1,2,6,30,4,0,2,0.138,2.2,79.84,7,640
2001,1,2,7,30,140,13,1,0.138,2.1,60.52,11,640
2001,1,2,8,30,186,15,0,0.138,1.9000000000000001,46.76,14,640
2001,1,2,9,30,185,17,0,0.138,1.7000000000000002,40.230000000000004,16,640
2001,1,2,10,30,383,27,0,0.138,1.5,38.28,17,640
2001,1,2,11,30,569,308,1,0.138,1.4000000000000001,39.17,17,640
2001,1,2,12,30,338,23,1,0.138,1.5,43.93,16,640
2001,1,2,13,30,296,22,2,0.138,1.6,50,15,640
2001,1,2,14,30,400,44,3,0.138,1.8,55.64,14,640
2001,1,2,15,30,277,596,3,0.138,2,64.94,12,640
2001,1,2,16,30,65,0,3,0.138,2.1,69.94,11,640
2001,1,2,17,30,97,112,3,0.138,1.9000000000000001,80.42,9,640
2001,1,2,18,30,0,0,4,0.138,1.7000000000000002,87.78,8,640
2001,1,2,19,30,0,0,4,0.138,1.6,89.26,8,640
2001,1,2,20,30,0,0,4,0.138,1.7000000000000002,95.83,7,640
2001,1,2,21,30,0,0,4,0.138,1.8,95.71000000000001,7,640
2001,1,2,22,30,0,0,4,0.138,2,95.60000000000001,6,640
2001,1,2,23,30,0,0,4,0.138,2.1,100,6,640
2001,1,3,0,30,0,0,4,0.138,2.1,100,6,640
2001,1,3,1,30,0,0,2,0.138,2.2,100,5,640
2001,1,3,2,30,0,0,2,0.138,2.2,100,5,640
2001,1,3,3,30,0,0,2,0.138,2.1,100,5,640
2001,1,3,4,30,0,0,2,0.138,1.9000000000000001,100,5,640
2001,1,3,5,30,0,0,2,0.138,2,99.31,5,640
2001,1,3,6,30,38,607,2,0.138,2.2,77.98,8,640
2001,1,3,7,30,185,131,0,0.138,2.1,57.1,11,640
2001,1,3,8,30,318,143,0,0.138,1.8,44.03,14,640
2001,1,3,9,30,272,21,0,0.138,1.6,38.65,16,640
2001,1,3,10,30,494,68,0,0.138,1.4000000000000001,37.09,17,640
2001,1,3,11,30,591,158,0,0.138,1.3,38.14,17,640
2001,1,3,12,30,600,196,1,0.138,1.2000000000000002,43.01,16,640
2001,1,3,13,30,535,91,2,0.138,1.1,48.65,15,640
2001,1,3,14,30,415,51,3,0.138,1,54.19,13,640
2001,1,3,15,30,353,266,3,0.138,0.9,63.9,12,640
2001,1,3,16,30,225,223,3,0.138,0.8,70.2,10,640
2001,1,3,17,30,82,384,4,0.138,0.7000000000000001,82.42,9,640
2001,1,3,18,30,0,0,4,0.138,0.6000000000000001,90.3,8,640
2001,1,3,19,30,0,0,4,0.138,0.6000000000000001,91.69,8,640
2001,1,3,20,30,0,0,4,0.138,0.6000000000000001,92.39,8,640
2001,1,3,21,30,0,0,4,0.138,0.7000000000000001,92.86,8,640
2001,1,3,22,30,0,0,4,0.138,0.6000000000000001,99.68,7,640
2001,1,3,23,30,0,0,4,0.138,0.5,99.41,7,640
2001,1,4,0,30,0,0,4,0.138,0.4,98.46000000000001,6,640
2001,1,4,1,30,0,0,4,0.138,0.4,100,6,640
2001,1,4,2,30,0,0,4,0.138,0.5,100,6,640
2001,1,4,3,30,0,0,4,0.138,0.7000000000000001,100,6,640
2001,1,4,4,30,0,0,4,0.138,0.9,100,6,640
2001,1,4,5,30,0,0,3,0.138,0.9,99.53,6,640
2001,1,4,6,30,34,0,3,0.138,0.6000000000000001,85.47,7,640
2001,1,4,7,30,120,4,3,0.138,0.5,71.49,10,640
2001,1,4,8,30,243,27,2,0.138,0.6000000000000001,58.800000000000004,12,640
2001,1,4,9,30,433,115,1,0.138,0.6000000000000001,52.980000000000004,13,640
2001,1,4,10,30,439,39,1,0.138,0.7000000000000001,49.77,14,640
2001,1,4,11,30,283,23,2,0.138,0.9,50.93,14,640
2001,1,4,12,30,573,91,2,0.138,1.1,55.42,13,640
2001,1,4,13,30,374,25,2,0.138,1.1,60.24,12,640
2001,1,4,14,30,417,52,2,0.138,1,65.08,11,640
2001,1,4,15,30,360,149,2,0.138,1,69.64,10,640
2001,1,4,16,30,222,264,2,0.138,1,74.21000000000001,9,640
2001,1,4,17,30,83,384,2,0.138,1.3,79.61,8,640
2001,1,4,18,30,0,0,3,0.138,1.7000000000000002,81.09,7,640
2001,1,4,19,30,0,0,3,0.138,2,89.26,7,640
2001,1,4,20,30,0,0,3,0.138,2.4000000000000004,90.5,7,640
2001,1,4,21,30,0,0,3,0.138,2.5,91.8,7,640
2001,1,4,22,30,0,0,3,0.138,2.4000000000000004,92.95,7,640
2001,1,4,23,30,0,0,3,0.138,2.3000000000000003,99.37,6,640
2001,1,5,0,30,0,0,3,0.138,2,96.44,6,640
2001,1,5,1,30,0,0,3,0.138,1.9000000000000001,95.39,5,640
2001,1,5,2,30,0,0,2,0.138,2.2,100,5,640
2001,1,5,3,30,0,0,2,0.138,2.5,99.52,5,640
2001,1,5,4,30,0,0,2,0.138,2.8000000000000003,98.10000000000001,4,640
2001,1,5,5,30,0,0,2,0.138,3.1,96.41,4,640
2001,1,5,6,30,14,0,2,0.138,3.7,89.41,6,640
2001,1,5,7,30,150,23,2,0.138,4,72.8,9,640
2001,1,5,8,30,308,101,1,0.138,3.6,57,12,640
2001,1,5,9,30,306,25,1,0.138,2.8000000000000003,51.54,13,640
2001,1,5,10,30,361,25,1,0.138,2.2,48.410000000000004,14,640
2001,1,5,11,30,534,61,1,0.138,1.7000000000000002,49.44,14,640
2001,1,5,12,30,495,40,2,0.138,1.6,54.25,13,640
2001,1,5,13,30,543,103,2,0.138,1.6,59.39,12,640
2001,1,5,14,30,318,24,2,0.138,1.7000000000000002,64.53,11,640
2001,1,5,15,30,318,52,2,0.138,1.8,69.60000000000001,10,640
2001,1,5,16,30,229,186,2,0.138,1.8,75.07000000000001,9,640
2001,1,5,17,30,34,0,3,0.138,1.9000000000000001,81.23,8,640
2001,1,5,18,30,0,0,3,0.138,2,88.12,7,640
2001,1,5,19,30,0,0,3,0.138,2.2,88.81,7,640
2001,1,5,20,30,0,0,3,0.138,2.2,95.74000000000001,6,640
2001,1,5,21,30,0,0,3,0.138,2.2,96.96000000000001,6,640
2001,1,5,22,30,0,0,3,0.138,2.3000000000000003,97.89,6,640
2001,1,5,23,30,0,0,3,0.138,2.3000000000000003,98.22,6,640
2001,1,6,0,30,0,0,3,0.138,2.2,98.14,6,640
2001,1,6,1,30,0,0,3,0.138,2.1,97.82000000000001,6,640
2001,1,6,2,30,0,0,2,0.138,1.9000000000000001,100,5,640
2001,1,6,3,30,0,0,2,0.138,1.9000000000000001,100,5,640
2001,1,6,4,30,0,0,2,0.138,2,100,5,640
2001,1,6,5,30,0,0,2,0.138,2.1,98.98,5,640
2001,1,6,6,30,12,0,2,0.138,2.2,83.88,7,640
2001,1,6,7,30,106,0,1,0.138,1.8,63.99,10,640
2001,1,6,8,30,304,89,1,0.138,1.7000000000000002,50.85,13,640
2001,1,6,9,30,413,78,1,0.138,1.7000000000000002,44.26,15,640
2001,1,6,10,30,536,163,1,0.138,1.4000000000000001,42.17,16,640
2001,1,6,11,30,344,23,1,0.138,1.2000000000000002,43.72,15,640
2001,1,6,12,30,404,25,2,0.138,1.1,48.93,15,640
2001,1,6,13,30,456,38,3,0.138,1,54.51,14,640
2001,1,6,14,30,478,156,3,0.138,0.9,59.94,13,640
2001,1,6,15,30,298,38,3,0.138,0.9,69.95,11,640
2001,1,6,16,30,227,116,3,0.138,0.9,75.68,10,640
2001,1,6,17,30,99,79,3,0.138,1,93.10000000000001,7,640
2001,1,6,18,30,0,0,3,0.138,1.2000000000000002,97.98,6,640
2001,1,6,19,30,0,0,3,0.138,1.5,95.06,5,640
2001,1,6,20,30,0,0,3,0.138,1.7000000000000002,94.08,5,640
2001,1,6,21,30,0,0,3,0.138,1.7000000000000002,94.4,6,640
2001,1,6,22,30,0,0,3,0.138,1.6,94.68,6,640
2001,1,6,23,30,0,0,3,0.138,1.5,94.85000000000001,5,640
2001,1,7,0,30,0,0,2,0.138,1.2000000000000002,100,5,640
2001,1,7,1,30,0,0,2,0.138,1,100,5,640
2001,1,7,2,30,0,0,2,0.138,0.8,99.44,5,640
2001,1,7,3,30,0,0,2,0.138,0.7000000000000001,97.96000000000001,5,640
2001,1,7,4,30,0,0,2,0.138,0.6000000000000001,96.65,4,640
2001,1,7,5,30,0,0,2,0.138,0.7000000000000001,95.25,5,640
2001,1,7,6,30,21,0,2,0.138,0.5,81.59,7,640
2001,1,7,7,30,73,0,1,0.138,0.5,63.25,10,640
2001,1,7,8,30,208,18,0,0.138,1,48.65,13,640
2001,1,7,9,30,308,25,0,0.138,1.4000000000000001,41.300000000000004,15,640
2001,1,7,10,30,493,69,0,0.138,1.5,39.49,16,640
2001,1,7,11,30,315,23,1,0.138,1.5,41.18,16,640
2001,1,7,12,30,474,35,1,0.138,1.4000000000000001,46.85,15,640
2001,1,7,13,30,404,28,2,0.138,1.4000000000000001,53.25,13,640
2001,1,7,14,30,252,20,3,0.138,1.4000000000000001,63.56,12,640
2001,1,7,15,30,202,16,3,0.138,1.2000000000000002,69.64,10,640
2001,1,7,16,30,165,16,3,0.138,1.1,80.28,9,640
2001,1,7,17,30,98,67,3,0.138,1,91.57000000000001,7,640
2001,1,7,18,30,0,0,3,0.138,0.8,97.23,6,640
2001,1,7,19,30,0,0,3,0.138,0.7000000000000001,95.63,6,640
2001,1,7,20,30,0,0,3,0.138,0.7000000000000001,95.35000000000001,5,640
2001,1,7,21,30,0,0,2,0.138,0.7000000000000001,100,5,640
2001,1,7,22,30,0,0,2,0.138,0.6000000000000001,100,5,640
2001,1,7,23,30,0,0,2,0.138,0.5,99.85000000000001,5,640
2001,1,8,0,30,0,0,2,0.138,0.5,97.85000000000001,5,640
2001,1,8,1,30,0,0,2,0.138,0.5,95.9,5,640
2001,1,8,2,30,0,0,2,0.138,0.6000000000000001,93.34,5,640
2001,1,8,3,30,0,0,1,0.138,0.6000000000000001,91.99,5,640
2001,1,8,4,30,0,0,1,0.138,0.6000000000000001,90.82000000000001,5,640
2001,1,8,5,30,0,0,1,0.138,0.8,89.93,5,640
2001,1,8,6,30,12,0,1,0.138,1.1,78.13,7,640
2001,1,8,7,30,168,61,1,0.138,0.8,66.94,9,640
2001,1,8,8,30,306,102,0,0.138,0.5,52.86,12,640
2001,1,8,9,30,113,970,0,0.138,0.6000000000000001,48.2,13,640
2001,1,8,10,30,514,293,0,0.138,1.1,45.28,14,640
2001,1,8,11,30,732,230,0,0.138,1.4000000000000001,43.62,15,640
2001,1,8,12,30,431,28,1,0.138,1.6,45.410000000000004,15,640
2001,1,8,13,30,441,34,2,0.138,1.7000000000000002,50.75,14,640
2001,1,8,14,30,382,35,2,0.138,1.6,56.38,12,640
2001,1,8,15,30,325,56,3,0.138,1.6,66.16,11,640
2001,1,8,16,30,210,54,3,0.138,1.5,71.93,10,640
2001,1,8,17,30,101,103,3,0.138,1.2000000000000002,83.31,8,640
2001,1,8,18,30,0,0,3,0.138,0.9,89.71000000000001,6,640
